ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100.vs.Ctrl.micro.logFC	LPS100.B100.vs.Ctrl.micro.p.value
ENSOARG00000004285	101122252	CERS6	ceramide synthase 6	0.669774550596655	0.0415600806967666
ENSOARG00000004302	101121281	C1orf74	chromosome 12 open reading frame, human C1orf74	-0.748476917479193	0.036143045945772
ENSOARG00000004304	101109366	SYNJ2	synaptojanin 2	1.35012197973783	0.0265933813782792
ENSOARG00000004305	101108967	FAF1	Fas associated factor 1	-0.799934539883244	0.00742654415646588
ENSOARG00000004315	101105582	ACSF2	acyl-CoA synthetase family member 2	-0.744181561113496	0.0324243307673484
ENSOARG00000004348	101111978	CLYBL	citrate lyase beta like	-0.920239994124202	0.012744763018778
ENSOARG00000004352		SIAH2	siah E3 ubiquitin protein ligase 2	1.00413854304644	0.0211971273989936
ENSOARG00000004362	101107535	KIF1C	kinesin family member 1C	-0.80340413140061	0.00306349409274749
ENSOARG00000004364	101109623	TULP4	tubby like protein 4	-1.47446327288661	0.00632398098963071
ENSOARG00000004368	101112424	LOXL1	lysyl oxidase like 1	-0.934041167787581	0.0187556339778228
ENSOARG00000004374	101109407		myelin basic protein	-2.07727513444197	0.000153784004535076
ENSOARG00000004375	101114101	AHCYL2	adenosylhomocysteinase like 2	1.54094612698298	0.00230397753993913
ENSOARG00000004384	101110124	RPS6KA1	ribosomal protein S6 kinase A1	0.580511308291511	0.0397553490325644
ENSOARG00000004386	101111731	FLRT3	fibronectin leucine rich transmembrane protein 3	-2.02787626352103	0.00373824763513914
ENSOARG00000004392	101109887	TMEM181	transmembrane protein 181	-0.622926750040165	0.0218986065775606
ENSOARG00000004411	101123551	ZNF454	zinc finger protein 2 homolog	-1.10079606918346	0.0313825453847829
ENSOARG00000004413	101108064	IFI35	interferon induced protein 35	1.3356206822552	0.00786742594944624
ENSOARG00000004429	101108935	IVNS1ABP	influenza virus NS1A binding protein	-2.06064078294523	0.000143056368711637
ENSOARG00000004435	101105644		eukaryotic peptide chain release factor subunit 1	0.978661203846928	0.00942634118928055
ENSOARG00000004440	101106343	LRRC59	leucine rich repeat containing 59	0.631467665693362	0.0355143452191478
ENSOARG00000004446	101103823	TOB1	transducer of ERBB2, 1	-0.664289637735528	0.0466201900722649
ENSOARG00000004469	101109975	TAGAP	T cell activation RhoGTPase activating protein	2.917414072599	0.000358790209273337
ENSOARG00000004470		B4GAT1	beta-1,4-glucuronyltransferase 1	-0.971993258760553	0.00729138405941983
ENSOARG00000004482				-1.43626781088624	0.00513290257471224
ENSOARG00000004487	101110165	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	0.605614567282965	0.0496996413889718
ENSOARG00000004490	101105908	STRIP2	striatin interacting protein 2	2.43225283689112	0.000734252225607741
ENSOARG00000004501	101118814	PCSK7	proprotein convertase subtilisin/kexin type 7	0.729481036943779	0.0231643547451877
ENSOARG00000004502	101112413	GPI	glucose-6-phosphate isomerase	-1.11355408917365	0.00268284439383089
ENSOARG00000004521	101111400	PEX6	peroxisomal biogenesis factor 6	-0.986574901043146	0.00126680198002138
ENSOARG00000004522	101111967	AFF1	AF4/FMR2 family member 1	1.1008869176831	0.0310629997000662
ENSOARG00000004525	101121346	RNF187	ring finger protein 187	-1.67117777946272	0.00112428492262633
ENSOARG00000004533	101112668	UBA2	ubiquitin like modifier activating enzyme 2	0.687843303091168	0.0354275403783707
ENSOARG00000004540	101121898	AP2A2	adaptor related protein complex 2 subunit alpha 2	-0.619572764374015	0.0223723778397023
ENSOARG00000004544	101113608	VAT1	vesicle amine transport 1	-1.06831089722482	0.00186152859830172
ENSOARG00000004545	101117980	ME2	malic enzyme 2	0.878050109813699	0.0304418294781902
ENSOARG00000004546				1.15322580596836	0.00316006622856392
ENSOARG00000004548	101119621	FAM50A	family with sequence similarity 50 member A	-0.630992614471468	0.0277442925192391
ENSOARG00000004559	101118636	DCUN1D5	defective in cullin neddylation 1 domain containing 5	1.31841347367625	0.00367069946885519
ENSOARG00000004561	101112235	TMTC4	transmembrane and tetratricopeptide repeat containing 4	-1.67518384748038	0.00166568671024766
ENSOARG00000004571	101123528	UBE2E1	ubiquitin conjugating enzyme E2 E1	0.85955139725488	0.0338192582417939
ENSOARG00000004573		VAC14	Vac14, PIKFYVE complex component	-0.671875138965512	0.0106917632890303
ENSOARG00000004581				-1.22194003695453	0.0275360798727476
ENSOARG00000004582	101106603	EME1	essential meiotic structure-specific endonuclease 1	-0.745718256849474	0.0185579566520852
ENSOARG00000004591	101117041	HIRIP3	HIRA interacting protein 3	-0.913992416009889	0.0040300612278238
ENSOARG00000004600		EEFSEC	eukaryotic elongation factor, selenocysteine-tRNA specific	-0.715646802541029	0.0158605745828808
ENSOARG00000004654	101103193	PICALM	phosphatidylinositol binding clathrin assembly protein	1.30405493132618	0.0210276843342874
ENSOARG00000004660	101122883	GRAMD1A	GRAM domain containing 1A	0.79334564416154	0.0322793298442815
ENSOARG00000004668	493887	PRNP	prion protein	1.09350898636043	0.0394236362358154
ENSOARG00000004673	101106669	PPP1R21	protein phosphatase 1 regulatory subunit 21	-0.584501113921032	0.0266914052691808
ENSOARG00000004686	101120073	ASNS	asparagine synthetase (glutamine-hydrolyzing)	1.27639094506957	0.00182749117741467
ENSOARG00000004690	100500777	DNMT3B	microtubule associated protein RP/EB family member 1	0.793962220844252	0.0264307517750324
ENSOARG00000004691	100302077	RAB21	RAB21, member RAS oncogene family	1.17571110924581	0.00198632903316838
ENSOARG00000004704	101118351	LRIG3	leucine rich repeats and immunoglobulin like domains 3	-1.06256363408766	0.0339430255860058
ENSOARG00000004708	101122325	REEP3	receptor accessory protein 3	0.627580255260805	0.0238358149338984
ENSOARG00000004716	101123430	TIMM21	translocase of inner mitochondrial membrane 21	-1.00862632072129	0.00226580485906531
ENSOARG00000004721	100101238	LOC100101238	regakine 1-like protein	1.27288074918417	0.00721190482672074
ENSOARG00000004723		CENPB	centromere protein B	-1.19788817202007	0.000620996336939325
ENSOARG00000004730	101110437	STK4	serine/threonine kinase 4	1.38340869367644	0.0094585493855078
ENSOARG00000004735				0.793223237283722	0.0224589671456535
ENSOARG00000004736	101102331	LSR	lipolysis stimulated lipoprotein receptor	-0.925952124816246	0.0191273309074484
ENSOARG00000004752	101113246	MAP3K4	mitogen-activated protein kinase kinase kinase 4	-0.866867364418116	0.00272795342949478
ENSOARG00000004770	494443	MBD2	methyl-CpG binding domain protein 2	1.17545657085661	0.00886240732510682
ENSOARG00000004772	101117721	TAOK2	serine/threonine-protein kinase TAO2	-0.636334366548184	0.0174216932263254
ENSOARG00000004778	101115024	UBE2H	ubiquitin conjugating enzyme E2 H	1.15749963591596	0.0040372006770974
ENSOARG00000004783	101103843	CMKLR1	chemerin chemokine-like receptor 1	-2.21582736408016	0.00112575851337176
ENSOARG00000004785	101102896	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	1.6726187283983	0.00138889118924368
ENSOARG00000004786	101111530	UBAC1	UBA domain containing 1	-0.702460813155454	0.0246355508606021
ENSOARG00000004797	101120978	WWTR1	WW domain containing transcription regulator 1	0.682963237544767	0.0338422386905609
ENSOARG00000004845	101119778	C18orf54	chromosome 23 open reading frame, human C18orf54	1.25243274694072	0.00360092967290262
ENSOARG00000004850	101108456	TAZ	tafazzin	-0.691852041978499	0.0396521012486297
ENSOARG00000004865	101105153	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11	-0.536419004365262	0.0255928978032793
ENSOARG00000004871	443483	COL1A1	collagen type I alpha 1 chain	-0.62111776965519	0.0381701815332028
ENSOARG00000004875	101116830	ADGRE2	adhesion G protein-coupled receptor E2	1.74092470268107	0.0180590011856867
ENSOARG00000004884	101103281	RTTN	rotatin	-0.735171078473006	0.0349023405020484
ENSOARG00000004895	101114530	RPS6KA2	ribosomal protein S6 kinase A2	-0.882126750256813	0.0231669394642387
ENSOARG00000004898	101121973	RCOR1	REST corepressor 1	1.29929189316871	0.0305928918415654
ENSOARG00000004907	101115452	ZC3HC1	zinc finger C3HC-type containing 1	0.743512038250985	0.0111726478572716
ENSOARG00000004909	101114785	RNASET2	ribonuclease T2	-0.537850699382855	0.0333497091546231
ENSOARG00000004921	101115039	FGFR1OP	FGFR1 oncogene partner	-0.696748300567867	0.0201029965888162
ENSOARG00000004923	101108377	EMG1	EMG1, N1-specific pseudouridine methyltransferase	1.10971496374818	0.0113309262677983
ENSOARG00000004936	101119411	ETV2	ETS variant 2	-1.32956195716395	0.0198306597468274
ENSOARG00000004941	101105627	PBLD	phenazine biosynthesis like protein domain containing	-1.30930188143891	0.00100021163989663
ENSOARG00000004950	101106423	KLHDC10	kelch domain containing 10	1.06376640404243	0.00212880127604996
ENSOARG00000004963	101115978	RAB7B	RAB7B, member RAS oncogene family	-1.83801644770704	0.00198739733702535
ENSOARG00000004978	100036758	TRAF3	TNF receptor associated factor 3	1.62917625992426	0.000429101053796171
ENSOARG00000004983	101107354	VAV1	vav guanine nucleotide exchange factor 1	1.32023019076084	0.000548476419443414
ENSOARG00000005011	101102621	TTC21B	tetratricopeptide repeat domain 21B	-1.15437385680296	0.00974202243905094
ENSOARG00000005021	101118987	C11orf49	chromosome 15 open reading frame, human C11orf49	-1.17487334305275	0.00340622361494556
ENSOARG00000005026	101102781	RUFY2	RUN and FYVE domain containing 2	-1.38835606530641	0.0101533037402607
ENSOARG00000005028	101108059	PTDSS1	phosphatidylserine synthase 1	-0.577751853964534	0.0321977179320439
ENSOARG00000005035	101114636	FUK	fucokinase	-0.835124241725186	0.00716418354534403
ENSOARG00000005042	101102016	PRKD1	protein kinase D1	0.707878089291269	0.0460968196905498
ENSOARG00000005045	101104798	EEF2KMT	eukaryotic elongation factor 2 lysine methyltransferase	-0.915852968500984	0.0208809664442775
ENSOARG00000005046	101107426	MSH6	mutS homolog 6	-0.840940926916304	0.0126005284344603
ENSOARG00000005050	101105804	MSN	moesin	1.38498068737179	0.0389329015387929
ENSOARG00000005057	101109247	EMD	emerin	-0.789522279281185	0.00522181082009863
ENSOARG00000005064	101117411	HERPUD2	HERPUD family member 2	-0.874715157502719	0.0119038461705479
ENSOARG00000005091	101114715	DFFA	DNA fragmentation factor subunit alpha	-0.693667908713002	0.0186915267312965
ENSOARG00000005093	101121729	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	1.35037590791115	0.00105228925957035
ENSOARG00000005094	101112931	CUL7	cullin 7	-0.84570710141579	0.0154872730488332
ENSOARG00000005097	101117594	ERMARD	ER membrane associated RNA degradation	-1.09935195708981	0.00630901855433671
ENSOARG00000005112	101122241	HPS3	HPS3, biogenesis of lysosomal organelles complex 2 subunit 1	-0.975067953821187	0.00253103007596534
ENSOARG00000005145	101114826	CC2D1B	coiled-coil and C2 domain containing 1B	-0.749486376158437	0.00655154283253566
ENSOARG00000005158	101123423	NUDT22	DnaJ heat shock protein family (Hsp40) member C4	-1.16613112259615	0.00816103633077368
ENSOARG00000005162	101107865	TRIP10	thyroid hormone receptor interactor 10	1.81811859319573	0.000337463628464618
ENSOARG00000005172	101107153	LOC101107153	cytochrome c oxidase copper chaperone	1.34641222798799	0.0168325160954241
ENSOARG00000005185	101111940	SH3YL1	SH3 and SYLF domain containing 1	-0.775261572931627	0.0196740452305956
ENSOARG00000005186	101115529	EEF1AKMT3	EEF1A lysine methyltransferase 3	0.873621605417257	0.0350433481258655
ENSOARG00000005191		ALKBH6	alkB homolog 6	-1.07238692904619	0.00899935312706825
ENSOARG00000005201	101115780	METTL1	methyltransferase like 1	0.744263474792944	0.0252181467187016
ENSOARG00000005202		FECH	ferrochelatase	-1.04630984356244	0.0148461125464187
ENSOARG00000005206	101106703	OPTN	optineurin	1.32445444129219	0.000650120838346921
ENSOARG00000005208	101120390	FLNA	filamin A	-0.946179504325507	0.00641338939843263
ENSOARG00000005211	101123503	FANCD2	FA complementation group D2	-0.846557499301223	0.00590894504362981
ENSOARG00000005223	101117263	DESI2	desumoylating isopeptidase 2	1.01009616378003	0.00536597604220047
ENSOARG00000005239	678684	NARS	asparaginyl-tRNA synthetase	0.728056578850789	0.0430374787245125
ENSOARG00000005240	101109106	SPAG7	sperm associated antigen 7	-0.719386081019304	0.0210477324729628
ENSOARG00000005241	101119129	MARCH9	membrane associated ring-CH-type finger 9	1.18941809568114	0.0377354602000071
ENSOARG00000005242	101119471	GRPEL2	GrpE like 2, mitochondrial	0.9386719930158	0.0112591130342674
ENSOARG00000005248	101119723	PCYOX1L	prenylcysteine oxidase 1 like	-0.791631425377561	0.014876321275285
ENSOARG00000005256				0.944441889450971	0.0201029965888162
ENSOARG00000005261	101112039	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)	-0.977812846287444	0.0284656862613126
ENSOARG00000005273	101115840	VEGFB	vascular endothelial growth factor B	-0.815041464846234	0.012671743565234
ENSOARG00000005275	101112956	PXDN	peroxidasin	-0.996307334281111	0.0463707951138855
ENSOARG00000005278	101119178	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	-0.793153473385935	0.00506062349242388
ENSOARG00000005279	101107407	UBQLN4	ubiquilin 4	-1.01725134203108	0.02034438843716
ENSOARG00000005280	101115500	ATP8B1	ATPase phospholipid transporting 8B1	1.71261478013692	0.00196848507491889
ENSOARG00000005282	101115076	ORC1	origin recognition complex subunit 1	-1.50081935076045	0.0141314386026151
ENSOARG00000005288	101115087	KIAA1328	KIAA1328 ortholog	1.61773045216537	0.000415250278157519
ENSOARG00000005289	101121285	COX7A1	cytochrome c oxidase subunit 7A1, mitochondrial	1.45581889285596	0.0440860202095447
ENSOARG00000005295				-1.12008168376614	0.00217728564117095
ENSOARG00000005296	101115223	ZNF565	zinc finger protein 565	-0.741684589687359	0.01998229702797
ENSOARG00000005297	443230	CALM2	calmodulin 2	-1.14232156611853	0.0029153755751065
ENSOARG00000005303	101103664	ZNF567	zinc finger protein 567	-1.21586549775362	0.0319049079945378
ENSOARG00000005305	101102902	ADGRA3	adhesion G protein-coupled receptor A3	0.894371613939332	0.0112713354548282
ENSOARG00000005308	101108929	PDK2	pyruvate dehydrogenase kinase 2	-1.43731497582614	0.000610447996537974
ENSOARG00000005312	101108072	ZNF461	zinc finger protein 461	-1.03138620414159	0.0439934482454744
ENSOARG00000005313	101108318		mitochondrial transcription termination factor 3	-0.785368394076951	0.0117200736331401
ENSOARG00000005314	101119103	NUDT1	nudix hydrolase 1	-0.629169861626684	0.0390260658353757
ENSOARG00000005316	101107066	KIF1BP	KIF1 binding protein	0.688032976623872	0.0162133354283243
ENSOARG00000005317	101106255	COG5	component of oligomeric golgi complex 5	-0.885027467258958	0.0032019871596883
ENSOARG00000005335	443541	PGD	phosphogluconate dehydrogenase	-0.863369728737444	0.00618676238357422
ENSOARG00000005349				-1.32477160051258	0.00850028305997575
ENSOARG00000005350	101107128	ZNF568	zinc finger protein 568	-0.823139013593019	0.0425896380652067
ENSOARG00000005354		SCAND1	SCAN domain containing 1	-0.91491580355624	0.0302357492657317
ENSOARG00000005356	101119435	MVP	major vault protein	-0.987852095128542	0.00899935312706825
ENSOARG00000005364	101103001	PCED1A	PC-esterase domain containing 1A	-0.778415811343121	0.019614485786366
ENSOARG00000005369		ADI1	acireductone dioxygenase 1	-0.625844033008462	0.0240955212937419
ENSOARG00000005372	101113775		probable low-specificity L-threonine aldolase 2	-0.879159752817924	0.0295266489458429
ENSOARG00000005373	101115326	PRPF38A	pre-mRNA processing factor 38A	0.955532514324499	0.00772992639284567
ENSOARG00000005377				1.60749248258824	0.0032039197854413
ENSOARG00000005380		PDLIM7	PDZ and LIM domain 7	-0.771286790307416	0.0294708162831198
ENSOARG00000005383	101122210	ZNF383	zinc finger protein 383	-1.31348755058885	0.0129382741831178
ENSOARG00000005391	101101913	ZNF527	zinc finger protein 527	-0.855150625020729	0.0362101926756481
ENSOARG00000005393				-1.11445549411798	0.0214529686344259
ENSOARG00000005394	101102599		protein phosphatase 1 regulatory inhibitor subunit 14B	-0.763316517482343	0.0266914052691808
ENSOARG00000005402	101103915	ZNF569	zinc finger protein 569	-1.08438183198602	0.00740687219983046
ENSOARG00000005403	101119667	BACE1	beta-secretase 1	-0.792765264675589	0.0177610628993533
ENSOARG00000005409	101110072	DHX8	DEAH-box helicase 8	0.594748603358338	0.0326639793888856
ENSOARG00000005416	101106958	MCM10	minichromosome maintenance 10 replication initiation factor	-1.14122092951544	0.001535558965548
ENSOARG00000005422	101109472	DBNDD2	dysbindin domain containing 2	-0.723698994073204	0.0415216590355811
ENSOARG00000005428	101108565	TPI1	triosephosphate isomerase 1	-0.791246249856576	0.0157345841898882
ENSOARG00000005435	101114909	LOC101114909	death domain-containing membrane protein NRADD-like	-1.15956964759159	0.0308506278029793
ENSOARG00000005457	101115259	STOM	stomatin	-1.08385701505503	0.0042130768380145
ENSOARG00000005460	101116344	DDB2	damage specific DNA binding protein 2	-0.711020129710886	0.015374966114695
ENSOARG00000005475	101113441	KLC4	kinesin light chain 4	-1.28463782496847	0.000376669056569339
ENSOARG00000005479		ARGLU1	arginine and glutamate rich 1	0.582398895606415	0.0391302597841244
ENSOARG00000005483				-0.621310084625097	0.0338277007736767
ENSOARG00000005488	101108518	ZMAT5	zinc finger matrin-type 5	-0.688965428856353	0.0421888114741513
ENSOARG00000005502				3.57384328106699	0.000111522644249393
ENSOARG00000005514	101118391	DDAH2	dimethylarginine dimethylaminohydrolase 2	-1.04169615569039	0.0115620435235985
ENSOARG00000005517				1.49043820178726	0.000555752533111448
ENSOARG00000005520	101101948	MAZ	MYC associated zinc finger protein	-0.982271079797493	0.00111101797586271
ENSOARG00000005521	101123416	IL17RC	interleukin 17 receptor C	0.676225504979635	0.0313028396241985
ENSOARG00000005531	101109954	USP5	ubiquitin specific peptidase 5	-0.689353808458639	0.00706064414172871
ENSOARG00000005537		PIGF	phosphatidylinositol glycan anchor biosynthesis class F	-0.664837803030908	0.0431509617483953
ENSOARG00000005544	101110786	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A	-1.30484740081687	0.0204179428292413
ENSOARG00000005547	101112549	GTF3C5	general transcription factor IIIC subunit 5	-0.621333601055589	0.0402471100206399
ENSOARG00000005552	101110167	SPINT2	serine peptidase inhibitor, Kunitz type 2	-0.606877278015041	0.0250981391745642
ENSOARG00000005564	101111045	YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein	-0.880080171647344	0.0236011341610946
ENSOARG00000005569	101123432	ZNF532	zinc finger protein 532	-1.25172440158996	0.00463691784888075
ENSOARG00000005570	101116923	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon	1.25792502560602	0.00049183930239792
ENSOARG00000005579	101123594	SEMA4A	semaphorin 4A	2.82833733440904	0.00228642803893356
ENSOARG00000005586	101107212	PHYH	phytanoyl-CoA 2-hydroxylase	-0.778031805089459	0.00891476676268084
ENSOARG00000005591	101120211	KIF22	kinesin family member 22	-1.22511067726314	0.0186869664680312
ENSOARG00000005604	101111572	PSMD8	proteasome 26S subunit, non-ATPase 8	1.24744144070536	0.0029153755751065
ENSOARG00000005605	101116529		O-acyltransferase like	-0.545134891694773	0.0384341118049955
ENSOARG00000005608	101102276	PMF1-BGLAP	polyamine-modulated factor 1	-0.840553045118948	0.010303222194137
ENSOARG00000005616	101107977	UBE2J2	ubiquitin conjugating enzyme E2 J2	0.931564187699712	0.0092077126082717
ENSOARG00000005619	101107847	RRAGB	Ras related GTP binding B	-1.13517520453189	0.0114139076528872
ENSOARG00000005626		RHOQ	ras homolog family member Q	0.516809495459975	0.0430206038342998
ENSOARG00000005631	101115767	PHF19	PHD finger protein 19	-1.52019772385416	0.004922332845699
ENSOARG00000005637	101110344	ETV4	ETS variant 4	-1.07809731640858	0.02599965227258
ENSOARG00000005646	101111913	GLYCTK	glycerate kinase	-0.886882048575623	0.017000199986725
ENSOARG00000005654	101106040	PRIM2	DNA primase subunit 2	-1.07087430119982	0.00259604877181922
ENSOARG00000005657	101119127	TSC1	TSC complex subunit 1	0.859364396377391	0.00349320300422648
ENSOARG00000005665	101111135	PTK7	protein tyrosine kinase 7 (inactive)	-1.24709753992904	0.0114010103878152
ENSOARG00000005673	101114036	TK1	thymidine kinase 1	-1.87136237865576	0.00657876108244256
ENSOARG00000005689	101119672	CCDC125	coiled-coil domain containing 125	-1.2022855833244	0.00729138405941983
ENSOARG00000005691				-1.10573202202043	0.00816103633077368
ENSOARG00000005705		MEGF9	multiple EGF like domains 9	-1.23830183943746	0.0266914052691808
ENSOARG00000005706	101111260	USP27X	ubiquitin specific peptidase 27 X-linked	-0.862256859351547	0.0428103411358432
ENSOARG00000005707	101115649	C11orf58	chromosome 15 open reading frame, human C11orf58	0.606255604709433	0.035281046556614
ENSOARG00000005710	101114477	DDIAS	DNA damage induced apoptosis suppressor	-1.41299387933139	0.0027119804302976
ENSOARG00000005722	443286	EPAS1	endothelial PAS domain protein 1	1.87750809644969	0.00373824763513914
ENSOARG00000005742	101116123	APEX2	apurinic/apyrimidinic endodeoxyribonuclease 2	-0.599038713788136	0.0173545138071683
ENSOARG00000005744	101123034	DDX39A	DExD-box helicase 39A	0.866688711429471	0.0102972832957746
ENSOARG00000005752	101113214	SPACA9	sperm acrosome associated 9	-1.3055623503147	0.0214907508284482
ENSOARG00000005756	101123181	BRINP1	BMP/retinoic acid inducible neural specific 1	1.44188309894022	0.00573841324207747
ENSOARG00000005757	101111402	SRF	serum response factor	1.28743947205145	0.00116079828566764
ENSOARG00000005763	101109176	SLC25A23	solute carrier family 25 member 23	-1.21599049123577	0.0111838715768643
ENSOARG00000005769	101113475	AK8	adenylate kinase 8	-1.06989028671825	0.0102673850963452
ENSOARG00000005786	101112354		protein phosphatase, Mg2+/Mn2+ dependent 1M	-1.11109864366723	0.000573565913750445
ENSOARG00000005787	101112732	WFS1	wolframin ER transmembrane glycoprotein	0.684135857135315	0.0215568344544041
ENSOARG00000005789	101108604	MED13L	mediator complex subunit 13 like	1.31650065350315	0.010450997997762
ENSOARG00000005791	101111737	ACTN4	actinin alpha 4	-0.66967772212918	0.0159608973933436
ENSOARG00000005793	101119386	GTF3C4	general transcription factor IIIC subunit 4	0.989020442519166	0.0330785465160092
ENSOARG00000005809	101114563	ZXDC	ZXD family zinc finger C	-1.04578558631342	0.00210207752827295
ENSOARG00000005811				-1.04920029491619	0.0324045259965752
ENSOARG00000005859	101103435	SLC25A22	solute carrier family 25 member 22	-0.830384925293306	0.0284656862613126
ENSOARG00000005874	101118430	ARHGEF25	Rho guanine nucleotide exchange factor 25	-1.29858313649201	0.0209267194008035
ENSOARG00000005884	101109414	SAR1A	secretion associated Ras related GTPase 1A	0.741201706484798	0.0111726478572716
ENSOARG00000005891	101103896	DHX15	DEAH-box helicase 15	0.828418961436693	0.023876628113744
ENSOARG00000005895	101102182	TRMT61A	tRNA methyltransferase 61A	-0.511259064465447	0.0472752795215258
ENSOARG00000005900	101117456	GMNN	geminin, DNA replication inhibitor	-1.38528912778692	0.00209412705264777
ENSOARG00000005927	101113694	MRPS12	mitochondrial ribosomal protein S12	-0.786616683039968	0.0191826668140128
ENSOARG00000005928	101102844	RPUSD3	RNA pseudouridine synthase D3	-0.609144831416923	0.0391737307559347
ENSOARG00000005936	101104873	TSACC	TSSK6 activating cochaperone	-1.25112231536992	0.0129262056216471
ENSOARG00000005954	101114062	CUL9	cullin 9	-0.761370541984672	0.0202801527842133
ENSOARG00000005958		SRBD1	S1 RNA binding domain 1	-1.10290364344954	0.00613871017271879
ENSOARG00000005963	101117343	ARL11	ADP ribosylation factor like GTPase 11	1.34947659044982	0.00256969579551262
ENSOARG00000005975	101112603	TWF2	twinfilin actin binding protein 2	-1.38588620782015	0.000198256087462202
ENSOARG00000005993	101103451	ATP6V1G1	ATPase H+ transporting V1 subunit G1	0.644936563068052	0.0310942051189661
ENSOARG00000005999				-0.877294728563564	0.022255041655154
ENSOARG00000006011	101107105	STAU2	staufen double-stranded RNA binding protein 2	1.45697902467588	0.0073517652546436
ENSOARG00000006042	101115149	SAMD4B	sterile alpha motif domain containing 4B	0.932212076928332	0.0480276208432603
ENSOARG00000006046	101121340	ICA1	islet cell autoantigen 1	-0.917709516582976	0.00687048945309381
ENSOARG00000006062		GATD1	glutamine amidotransferase like class 1 domain containing 1	-0.811263942760243	0.00887334119280699
ENSOARG00000006068	443283	ZFP36	ZFP36 ring finger protein	-0.984464749958772	0.022540559784035
ENSOARG00000006117	101114819	SLC41A3	solute carrier family 41 member 3	-1.16873110352279	0.000428334215144874
ENSOARG00000006122	101111467	GAS7	growth arrest specific 7	-1.39082511333767	0.00371899756225129
ENSOARG00000006133	101108407	TNFRSF4	TNF receptor superfamily member 4	1.81852823709537	0.00261531759080458
ENSOARG00000006140	100294558	SLC26A2	solute carrier family 26 member 2	-1.39417685037173	0.0419958759152019
ENSOARG00000006153		PDGFA	platelet derived growth factor subunit A	1.70838293223738	0.0201812453759663
ENSOARG00000006157	101103063	RMND5B	required for meiotic nuclear division 5 homolog B	-0.545674626611175	0.046557018496857
ENSOARG00000006177				-1.01362144749987	0.014128622475493
ENSOARG00000006178		FAM20C	FAM20C, golgi associated secretory pathway kinase	-1.36114037158791	0.0071154235002516
ENSOARG00000006193	101111355	PREPL	prolyl endopeptidase like	-1.21945203389299	0.0339995546510476
ENSOARG00000006200	101106557	NES	nestin	-0.870293763947396	0.0306396555328054
ENSOARG00000006205	101102074	SEPT9	septin 9	-1.00243314163034	0.00550632475772458
ENSOARG00000006210	101104015	OGG1	8-oxoguanine DNA glycosylase	-1.52523716446204	0.0014819769691249
ENSOARG00000006212	101106810	CRABP2	cellular retinoic acid binding protein 2	0.897406075895633	0.0381249080943338
ENSOARG00000006233	101106323	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	-1.01055462206922	0.0193522557221431
ENSOARG00000006235	101118828	MAGOH	mago homolog, exon junction complex subunit	0.832503998852151	0.0294947459836464
ENSOARG00000006256		RSRP1	arginine and serine rich protein 1	-0.637673070525253	0.0316726813241831
ENSOARG00000006258				-1.28584197131906	0.00221635667810126
ENSOARG00000006265	101103870	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	-0.611007959064206	0.0447649722198862
ENSOARG00000006266	101120860		transmembrane protein 123	1.44122825821727	0.0246981890743581
ENSOARG00000006276	101108871	NARS2	asparaginyl-tRNA synthetase 2, mitochondrial	-0.661407314832017	0.0236689021396432
ENSOARG00000006281	780444	BAD	BCL2 associated agonist of cell death	-0.859429737739307	0.012396478783118
ENSOARG00000006284	101121995	DCTPP1	dCTP pyrophosphatase 1	-1.38598766666242	0.00846961246644578
ENSOARG00000006285	101103106	DEAF1	DEAF1 transcription factor	-0.941565652771815	0.00314972907102761
ENSOARG00000006292	443342	IL10	interleukin 10	2.31236875192933	0.000546982859796916
ENSOARG00000006293				1.38057779098768	0.00402253479708009
ENSOARG00000006297	101110235	MLLT1	MLLT1, super elongation complex subunit	0.845990507836023	0.0229875641854027
ENSOARG00000006302	101114836	B4GALT6	beta-1,4-galactosyltransferase 6	1.82975831737762	0.00315130225405274
ENSOARG00000006306	101104433	BRPF1	bromodomain and PHD finger containing 1	0.589508911056572	0.0240327600598587
ENSOARG00000006310	101114545		WAP four-disulfide core domain 3	-1.11626863404248	0.0461306886447815
ENSOARG00000006313	101108974	ALDH18A1	aldehyde dehydrogenase 18 family member A1	-0.734739070887675	0.0214737129375833
ENSOARG00000006316	101118887	SDCCAG8	serologically defined colon cancer antigen 8	-0.763455383888517	0.0108747683639263
ENSOARG00000006331				-1.54326612739622	0.000958714231136708
ENSOARG00000006334	101117958	DYRK1B	dual specificity tyrosine phosphorylation regulated kinase 1B	-0.812302129758467	0.0229364645059511
