ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.logFC	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.p.value
ENSOARG00000017762	101111501	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	1.14476118030751	0.0173687041258258
ENSOARG00000017789				-1.78013602015224	0.0289590182002518
ENSOARG00000017872		AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1	1.34915878435595	0.0209713415560248
ENSOARG00000017948	101119818	DOCK6	dedicator of cytokinesis 6	0.857915595822547	0.0483251808168413
ENSOARG00000018050	101106424	C5H5orf63	chromosome 5 open reading frame, human C5orf63	1.83429265932036	0.0176759631909964
ENSOARG00000018070	101102475	TSPAN12	tetraspanin 12	1.45612043215403	0.0414141612750811
ENSOARG00000018085	101102895	L3MBTL2	lethal(3)malignant brain tumor-like protein 2	-0.884695163821037	0.0369402110334569
ENSOARG00000018094		RSBN1L	round spermatid basic protein 1 like	0.977411299527322	0.0333047803709263
ENSOARG00000018142	100037680	LMNB1	lamin B1	1.00891441275017	0.0233508892214052
ENSOARG00000018256	101114682	DMD	dystrophin	-0.930285674748497	0.0444963102065491
ENSOARG00000018310	101110073	MAPK7	mitogen-activated protein kinase 7	0.944586052104954	0.0374361422554275
ENSOARG00000018318	101122630	RANBP1	RAN binding protein 1	-1.03440940267015	0.0199697459510279
ENSOARG00000018326	101111621	CSDC2	cold shock domain containing C2	1.41702846230396	0.0136445380887406
ENSOARG00000018352	101119060	EPN2	epsin 2	0.908504668294539	0.0394574184926597
ENSOARG00000018357	101116926	CRLS1	cardiolipin synthase 1	1.31887149155824	0.040132666713577
ENSOARG00000018401	101122937	FMNL3	formin like 3	-0.912556725451415	0.0490488823308921
ENSOARG00000018411	100037684	CALML4	calmodulin like 4	-1.18726070444817	0.0197117609735308
ENSOARG00000018438	101117139	MAGT1	magnesium transporter 1	0.957436437369512	0.0329565753923529
ENSOARG00000018451	101112386	SNU13	small nuclear ribonucleoprotein 13	-0.886919898826731	0.0300726974913524
ENSOARG00000018695	101107283	TLE3	transducin like enhancer of split 3	1.12742858607646	0.0181255019091335
ENSOARG00000018718				-1.16681628923825	0.0102460511402687
ENSOARG00000018801				-0.905970259826243	0.0484563705672326
ENSOARG00000018810	101110325	CEP120	centrosomal protein 120	1.01654023830471	0.0419185419995485
ENSOARG00000018928	101119039	NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D	-1.18580540058205	0.0463226867178361
ENSOARG00000019074	101118362	NYNRIN	NYN domain and retroviral integrase containing	1.33926180240523	0.0306057255153822
ENSOARG00000019110	101122709	CTC1	CST telomere replication complex component 1	1.56347415953937	0.033974743577582
ENSOARG00000019301	101119824	NGDN	neuroguidin	-0.951613062026766	0.0202157708271325
ENSOARG00000019320	101112693	ATG16L1	autophagy related 16 like 1	-0.841906185916685	0.0475360488351827
ENSOARG00000019371	101109162	TMEM106C	transmembrane protein 106C	1.31907262790091	0.0171517889887948
ENSOARG00000019381	101123082	BOC	BOC cell adhesion associated, oncogene regulated	1.95727273631419	0.0336698672977185
ENSOARG00000019384	101104453	STRIP1	striatin interacting protein 1	-0.887642377782664	0.0278629967692005
ENSOARG00000019436	101105755	ABHD4	abhydrolase domain containing 4	-0.881509859486659	0.0254426671086108
ENSOARG00000019490	101112775	CEPT1	choline/ethanolamine phosphotransferase 1	1.30314205181555	0.0468174063856186
ENSOARG00000019536				-1.53270797858636	0.0241493871105143
ENSOARG00000019609	101111326	AGO3	argonaute 3, RISC catalytic component	-1.24481565959905	0.0444255141690167
ENSOARG00000019632	101115080	RAP1A	RAP1A, member of RAS oncogene family	0.92944055756236	0.0188218869112157
ENSOARG00000019664	101112198	RNF25	ring finger protein 25	-0.873445712767192	0.0427005424198932
ENSOARG00000019879	101108095	LRRC58	leucine rich repeat containing 58	1.28612588232775	0.0194964283105455
ENSOARG00000019936	101121386	HIPK1	homeodomain interacting protein kinase 1	-1.09586585741322	0.0410115071956347
ENSOARG00000019938		ZNF132	zinc finger protein 132	-1.14068804886764	0.0347210136789792
ENSOARG00000019959	100302070	RRAGC	Ras related GTP binding C	0.954357684217885	0.049455706257954
ENSOARG00000020009	101109663	POLQ	DNA polymerase theta	1.80642666215502	0.00879716370917982
ENSOARG00000020027	101102438	NRAS	NRAS proto-oncogene, GTPase	1.06470009331028	0.0475233965842134
ENSOARG00000020265		EXO5	exonuclease 5	1.43340189637801	0.0387865533305602
ENSOARG00000020273	101109709	DNAJC17	DnaJ heat shock protein family (Hsp40) member C17	-0.872003306803401	0.0489547095094441
ENSOARG00000020321				0.996420793284159	0.0352428266241731
ENSOARG00000020600	101120791	PSMD2	proteasome 26S subunit, non-ATPase 2	-0.913385376196878	0.0128295057808354
ENSOARG00000020781	101110313	RPIA	ribose 5-phosphate isomerase A	-1.16087049439113	0.0409796981073116
ENSOARG00000020793	101101990	LACTB	lactamase beta	1.35140578768518	0.0465942626768395
ENSOARG00000020824				-1.23995540894832	0.0464134045931149
ENSOARG00000020846	101103956	ZNF362	zinc finger protein 362	1.20958881166631	0.0269060877856171
ENSOARG00000020857	101118942	DUSP16	dual specificity phosphatase 16	1.00023463980343	0.0473141229918067
ENSOARG00000020937	101107778	UXS1	UDP-glucuronate decarboxylase 1	-0.908031501746836	0.0266310476273694
ENSOARG00000021078	101112987	GCH1	GTP cyclohydrolase 1	1.20101155503004	0.0375938019158098
ENSOARG00000021114	101116320	DACT1	dishevelled binding antagonist of beta catenin 1	1.88668481400672	0.00554338443133188
ENSOARG00000021147	101108755	SYNE2	spectrin repeat containing nuclear envelope protein 2	1.66616874045831	0.0302944807112938
ENSOARG00000021155		CHURC1	churchill domain containing 1	1.32598309227016	0.0100049600064798
