ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.logFC	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.p.value
ENSOARG00000015949	101119865	ATRNL1	attractin like 1	-1.10261058610143	0.0478012233463752
ENSOARG00000015999	101119503	IMMP1L	inner mitochondrial membrane peptidase subunit 1	1.06672164803077	0.0330668837631935
ENSOARG00000016030	101117119	C6orf52	chromosome 20 open reading frame, human C6orf52	1.04828593736711	0.0410823602743679
ENSOARG00000016114	101103551	GPR75	ankyrin repeat and SOCS box containing 3	-1.57123735064252	0.00854157723468207
ENSOARG00000016175	101105160		spondin 2	-1.1876645157844	0.0259889852365549
ENSOARG00000016207	101119970	GPR84	G protein-coupled receptor 84	2.32871076292406	0.0150562424582806
ENSOARG00000016234	101109287	CNIH4	cornichon family AMPA receptor auxiliary protein 4	1.03469316542067	0.0212109688240728
ENSOARG00000016240	101120819	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	-0.826315036980776	0.0425816843834509
ENSOARG00000016253	101107419		spermine synthase	1.22085488785043	0.0452563474572422
ENSOARG00000016373	101119456	LOC101119456	protein SET	-1.15683122366687	0.0350047814993166
ENSOARG00000016412	443545	PDGFB	platelet derived growth factor subunit B	2.1131782350768	0.0263308364516422
ENSOARG00000016433	101111544	REEP2	receptor accessory protein 2	-1.4100945550976	0.0312209829228505
ENSOARG00000016606	101105612	TMED5	transmembrane p24 trafficking protein 5	-1.02251076480589	0.0288374260677848
ENSOARG00000016610	101109747	HLA-DRA	mamu class II histocompatibility antigen, DR alpha chain-like	1.491971518352	0.0450210599588843
ENSOARG00000016832	101122445	ATP6V1C1	ATPase H+ transporting V1 subunit C1	1.16536575960264	0.00114660184631728
ENSOARG00000016834	101120052	ITPRID2	sperm-specific antigen 2	-1.15039488445845	0.0333819011204383
ENSOARG00000016852	101106914	CFLAR	CASP8 and FADD like apoptosis regulator	1.43637710725523	0.0299718727296608
ENSOARG00000016913	101102662	NPEPL1	aminopeptidase like 1	1.34568276926343	0.0255305584085817
ENSOARG00000016957	101115818	N4BP1	NEDD4 binding protein 1	1.62209847224564	0.00943274480024025
ENSOARG00000016973				1.66874946506424	0.0227647359395593
ENSOARG00000017122	101117387	EARS2	glutamyl-tRNA synthetase 2, mitochondrial	-1.00404470999554	0.0384783659088417
ENSOARG00000017156	101122289	SHPK	sedoheptulokinase	1.84447801584713	0.0340283310809506
ENSOARG00000017237	101120004	PRDM16	PR/SET domain 16	-1.44885228030777	0.0379181463760926
ENSOARG00000017278	101108836	JMY	junction mediating and regulatory protein, p53 cofactor	-1.98158285123308	0.0316773201981296
ENSOARG00000017300	101123607	FKBP7	FK506 binding protein 7	0.925688904560494	0.031367357923581
ENSOARG00000017328	101118918	F3	coagulation factor III, tissue factor	-1.52023556622241	0.0456550249341627
ENSOARG00000017339	101106996	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	1.32749860884514	0.019160065925565
ENSOARG00000017448				-1.14432411361545	0.00329740993854211
ENSOARG00000017497	101104975	KLHL29	kelch like family member 29	-1.4243740792883	0.0266507631684349
ENSOARG00000017832	101107005		family with sequence similarity 228 member B	1.40285775565894	0.0348626279816647
ENSOARG00000017875	101107564	COL8A1	collagen type VIII alpha 1 chain	-1.04416268397808	0.0408633382401045
ENSOARG00000017897	101110626	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	1.12781888041751	0.0237925030698152
ENSOARG00000017908		ZKSCAN4	zinc finger with KRAB and SCAN domains 4	-1.24077504789464	0.0432199182847404
ENSOARG00000017971	101111419	ZKSCAN1	zinc finger with KRAB and SCAN domains 1	-1.45077611928342	0.016075091736152
ENSOARG00000017974	101102229	LSM8	LSM8 homolog, U6 small nuclear RNA associated	0.952884511279512	0.032828540069282
ENSOARG00000017999	101112030	CHIC1	cysteine rich hydrophobic domain 1	1.42620166006402	0.0174441503852594
ENSOARG00000018006	101111684	TRIM4	tripartite motif containing 4	-1.0366551305809	0.0435305112491727
ENSOARG00000018023	101104210	SLC16A2	solute carrier family 16 member 2	-0.944459941350268	0.0424789399988587
ENSOARG00000018105	101104925	TFAP2C	transcription factor AP-2 gamma	-1.55246872235137	0.0415223957555278
ENSOARG00000018145	101116498	MCM8	minichromosome maintenance 8 homologous recombination repair factor	1.64043677190885	0.0244603635312553
ENSOARG00000018170	101113989	ABCB7	ATP binding cassette subfamily B member 7	1.01261757419279	0.0274638898143719
ENSOARG00000018182	101108899	EFR3B	EFR3 homolog B	-1.37835610587012	0.0307197050143603
ENSOARG00000018210	100217407	TIMP3	TIMP metallopeptidase inhibitor 3	-1.07970810012484	0.0424300756919066
ENSOARG00000018235	101118442	PLPPR2	phospholipid phosphatase related 2	-0.959196419778174	0.0295731898622979
ENSOARG00000018282	101119738	SLC46A1	solute carrier family 46 member 1	1.33814320454311	0.0346724473123128
ENSOARG00000018323	101113593	DCUN1D4	defective in cullin neddylation 1 domain containing 4	-1.5226915690269	0.0228468042150839
ENSOARG00000018353	101104069	MAP2K5	mitogen-activated protein kinase kinase 5	1.08533460232499	0.046300717555561
ENSOARG00000018400	101112125	LOC101117389	X-ray repair cross complementing 6	0.885264648850099	0.0376384510288146
ENSOARG00000018407	100037668	LOC100037668	40S ribosomal protein S15a	1.00303670082486	0.0187039645851217
ENSOARG00000018435	101104081	RPRD1B	regulation of nuclear pre-mRNA domain containing 1B	-0.887584728958649	0.0461390909930851
ENSOARG00000018446	101103717	PTPRZ1	protein tyrosine phosphatase, receptor type Z1	-1.63630724247903	0.000273597735470746
ENSOARG00000018456	100037668	LOC100037668	40S ribosomal protein S15a	1.00301851095657	0.0187039645851217
ENSOARG00000018511	101116446	NTN3	netrin 3	1.68798546413999	0.0196957333836976
ENSOARG00000018538	101109324	ZKSCAN5	zinc finger with KRAB and SCAN domains 5	-0.993570434148668	0.0401033371170815
ENSOARG00000018615	101112306	SAMD9	sterile alpha motif domain-containing protein 9	1.63090103967894	0.0265971018965921
ENSOARG00000018640	101104998	RASL11B	RAS like family 11 member B	-1.92288761684155	0.0134844555034576
ENSOARG00000018717	101104393	SREBF2	sterol regulatory element binding transcription factor 2	-1.03644822065586	0.0199674020250108
ENSOARG00000018809	101113884	CD44	CD44 molecule (Indian blood group)	-1.49423355747656	0.00473440377609106
ENSOARG00000018819	101102480	PCDHB6	protocadherin beta-6	-1.18247865102468	0.0368134452739338
ENSOARG00000018836		PCDHB7	protocadherin beta 7	-1.31452604650705	0.0087704448778968
ENSOARG00000018901	101111017	PPIC	peptidylprolyl isomerase C	0.926606332863534	0.0331411740879476
ENSOARG00000018927		XK	X-linked Kx blood group	-1.46174199008014	0.0424789399988587
ENSOARG00000019181	101101955		39S ribosomal protein L13, mitochondrial pseudogene	1.71247006518216	0.0370064334886798
ENSOARG00000019194	101116402	REC8	REC8 meiotic recombination protein	1.19925258646982	0.0366668068902375
ENSOARG00000019201	101116656	IRF9	interferon regulatory factor 9	1.55418658437025	0.00289890779717005
ENSOARG00000019212	100135691	PSME2	proteasome activator subunit 2	1.54560252868313	0.00614104992107862
ENSOARG00000019272	101103965	USP18	ubiquitin specific peptidase 18	2.56777996238681	0.0261043782227288
ENSOARG00000019409	101110465	SLC6A17	solute carrier family 6 member 17	-1.54952873930077	0.00144768900051194
ENSOARG00000019583				2.41968661997052	0.00485392158124067
ENSOARG00000019622	101113484	NELL2	neural EGFL like 2	-1.09071237828094	0.0339319927604082
ENSOARG00000019735	101114697	PANX2	pannexin 2	1.36417127582983	0.00495944002158541
ENSOARG00000019845				1.88745215463124	0.0492446260726644
ENSOARG00000019871		C19orf84	chromosome 19 open reading frame 84	2.24361625304903	0.0311916045562797
ENSOARG00000019968	101112806		basic helix-loop-helix family member e41	1.54388202356588	0.00292796884151372
ENSOARG00000020004		SLC1A4	solute carrier family 1 member 4	-1.53589462126879	0.0190620925530219
ENSOARG00000020014	101104494	C15orf41	chromosome 7 open reading frame, human C15orf41	1.45070787052992	0.0245163269799447
ENSOARG00000020036	101119971	KIF21A	kinesin family member 21A	-1.82355650099454	0.0225004606438764
ENSOARG00000020119	101112527	CASR	calcium sensing receptor	-1.66967472240286	0.00149647602333035
ENSOARG00000020178	101117321	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	-1.97838765039466	0.00241883401651105
ENSOARG00000020279	101119030		activator of HSP90 ATPase homolog 2, pseudogene	1.18603826753931	0.0379432038610379
ENSOARG00000020290	101107483	TRIM45	tripartite motif containing 45	1.70775732001756	0.0125312335913649
ENSOARG00000020362				-1.62144678244967	0.0103940878799722
ENSOARG00000020378	101101858	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3	-1.77759147653277	0.00431610185845568
ENSOARG00000020454	101105862	P3H1	prolyl 3-hydroxylase 1	0.894629771558992	0.0401165348828368
ENSOARG00000020498	101111065	MASP1	mannan binding lectin serine peptidase 1	1.25205869296685	0.0498599974397439
ENSOARG00000020593	101104810	PID1	phosphotyrosine interaction domain containing 1	1.21766316018728	0.0436724116214011
ENSOARG00000020761	101115086	TNIK	TRAF2 and NCK interacting kinase	-1.58951224537384	0.0104064337904993
ENSOARG00000020763	101108212	GUCY2C	guanylate cyclase 2C	1.81913366720079	0.0016800165674839
ENSOARG00000020808	101109432	EMP1	epithelial membrane protein 1	-1.37208224131865	0.037565753514349
ENSOARG00000021152	101119908	PPP1R36	protein phosphatase 1 regulatory subunit 36	-1.29484218578537	0.0221980551104427
ENSOARG00000025190	443527	PRD-SPRRII	small proline-rich protein type II	2.67254881768708	0.00365200364566595
ENSOARG00000025198				1.59871204818988	0.0107374046339052
