ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10.vs.Ctrl.micro.logFC	LPS100.A10.vs.Ctrl.micro.p.value
ENSOARG00000003320	101105983	FAM76A	family with sequence similarity 76 member A	-1.26393561080209	0.00722414960025842
ENSOARG00000003321		ZNF582	zinc finger protein 582	-0.680638781403657	0.0190288024482607
ENSOARG00000003327	101112448	SIPA1L2	signal induced proliferation associated 1 like 2	-0.713809800781041	0.0298851094109599
ENSOARG00000003341	101106828	IFI6	interferon alpha inducible protein 6	3.03145528174756	0.000186993348792703
ENSOARG00000003351	101107376	IFT52	intraflagellar transport 52	0.629580880799901	0.0201237596051603
ENSOARG00000003356	101109740	RFC5	replication factor C subunit 5	-0.803840489054883	0.00115903034386047
ENSOARG00000003357	105602017	ZNF471	zinc finger protein 471	-0.660439427971601	0.0189686886334652
ENSOARG00000003364	101116935	DDX55	DEAD-box helicase 55	0.923409448390491	0.000871444061108046
ENSOARG00000003365	101107075	FGR	FGR proto-oncogene, Src family tyrosine kinase	0.974049318981756	0.0141157263453056
ENSOARG00000003368	101122518	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1	0.743930801179511	0.0127174152870293
ENSOARG00000003371	101112782	PIAS2	protein inhibitor of activated STAT 2	0.682994218924904	0.00373937584902296
ENSOARG00000003372	101104655	FLNC	filamin C	-1.10451380903304	0.0175525430714782
ENSOARG00000003375	101118294		phospholipase A2 group XV	-0.783810688716606	0.0468047878750381
ENSOARG00000003377		SPINDOC	spindlin interactor and repressor of chromatin binding	0.514329722962465	0.0284109485036162
ENSOARG00000003386	101118850	VDAC3	voltage dependent anion channel 3	1.25162982390932	0.000770680922682577
ENSOARG00000003393	101112747	USP36	ubiquitin specific peptidase 36	-1.02188032847058	0.000375401627859917
ENSOARG00000003397	101118809	SLC7A6OS	solute carrier family 7 member 6 opposite strand	0.544022164757303	0.0372403249139317
ENSOARG00000003410	101119906	TDP1	tyrosyl-DNA phosphodiesterase 1	-0.799781038901481	0.0183028736039068
ENSOARG00000003413				0.853022977361109	0.0117601759521687
ENSOARG00000003417	101115739	EHMT2	euchromatic histone lysine methyltransferase 2	-1.4784696811566	3.15302369632615e-05
ENSOARG00000003429	101111386	ZFP90	ZFP90 zinc finger protein	-0.715224844881851	0.00403376899658071
ENSOARG00000003435		VWA1	von Willebrand factor A domain containing 1	-2.1461401324967	0.000253414976446319
ENSOARG00000003450		TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor	-1.52992580381662	0.00196330767555739
ENSOARG00000003451		SLC20A2	solute carrier family 20 member 2	-0.843318815539009	0.00214493784614898
ENSOARG00000003453	101102028	NMRAL1	NmrA like redox sensor 1	-0.670335336097914	0.0380146495090744
ENSOARG00000003454	101104774	AURKC	aurora kinase C	1.17921359169751	0.0100782665833978
ENSOARG00000003459		TOMM20	translocase of outer mitochondrial membrane 20	0.53057717224929	0.0257636269309465
ENSOARG00000003468	101110676	WDFY3	WD repeat and FYVE domain containing 3	-1.07777099507327	0.00405384052743029
ENSOARG00000003474	101102133	SPTBN1	spectrin beta, non-erythrocytic 1	-1.1163383392436	0.00552321326806431
ENSOARG00000003479	101112156	TANGO6	transport and golgi organization 6 homolog	-0.758995502953394	0.00735136961628035
ENSOARG00000003489	101114414	GGPS1	geranylgeranyl diphosphate synthase 1	1.10754553911348	0.000286641061927425
ENSOARG00000003491	101102693	CDIP1	cell death inducing p53 target 1	-1.20201262245083	0.000166384193757779
ENSOARG00000003496	101114670	TBCE	tubulin folding cofactor E	-1.3309952426495	0.000239867060297546
ENSOARG00000003499	101113840	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	0.61377756236076	0.00989934677374993
ENSOARG00000003508	101113451	DHX36	DEAH-box helicase 36	0.807944501076558	0.00762156340873504
ENSOARG00000003516	101119790	THAP1	THAP domain containing 1	1.11677233420038	0.00109850662151922
ENSOARG00000003517	101111323	STAB1	stabilin 1	-1.46941392999898	0.000243403362154651
ENSOARG00000003520	101120050	RNF170	ring finger protein 170	-0.901630467556423	0.000584877267142608
ENSOARG00000003523	101104947	RAB1B	RAB1B, member RAS oncogene family	-0.613477706957156	0.0135276284870778
ENSOARG00000003525	101117198	NKTR	natural killer cell triggering receptor	0.836101388419812	0.0012289345992338
ENSOARG00000003526	101121490	RPP25L	ribonuclease P/MRP subunit p25 like	0.518301727051139	0.0445592101625884
ENSOARG00000003536	101112923	PDF	peptide deformylase, mitochondrial	-1.04278231721455	0.0050843247949457
ENSOARG00000003538	101112995	CYTH1	cytohesin 1	-0.784057437919906	0.0138564055856402
ENSOARG00000003540				-0.871686990265646	0.0153853809140701
ENSOARG00000003541	101109742	CLK3	CDC like kinase 3	0.987948265309443	0.00073804133916642
ENSOARG00000003545	101121011	MED28	mediator complex subunit 28	0.810923371520519	0.00601483497447184
ENSOARG00000003547	101105095	MYBL2	MYB proto-oncogene like 2	-0.98503028853225	0.00461763943340654
ENSOARG00000003550	101113737	MAP3K6	mitogen-activated protein kinase kinase kinase 6	-1.66128110798485	4.95645407300516e-05
ENSOARG00000003558	101120941	NIP7	NIP7, nucleolar pre-rRNA processing protein	0.829415124835928	0.00616838636225869
ENSOARG00000003560	101113703	ELP6	elongator acetyltransferase complex subunit 6	0.858612132357199	0.0107474494032008
ENSOARG00000003563				0.592877885746349	0.0183327294626453
ENSOARG00000003564	101106636	STIL	STIL, centriolar assembly protein	-0.994293803905318	0.0372267573681167
ENSOARG00000003571	101115340	LYST	lysosomal trafficking regulator	-1.28549328908306	0.0102015968211704
ENSOARG00000003572	101115714	RPS6KA5	ribosomal protein S6 kinase A5	-1.38957778344264	0.000248467484592111
ENSOARG00000003575	101121621	CYB5B	cytochrome b5 type B	0.770493574243521	0.00720154655648985
ENSOARG00000003577	101106550	CNBP	CCHC-type zinc finger nucleic acid binding protein	-0.480803912469677	0.0486252464473047
ENSOARG00000003589	101123347	HOOK3	hook microtubule tethering protein 3	0.622509252898396	0.0135115328058557
ENSOARG00000003591	101113952	NFAT5	nuclear factor of activated T cells 5	1.34814301316865	0.0259781977294353
ENSOARG00000003596	101113083	HEATR6	HEAT repeat containing 6	0.548157426252565	0.00948835616412133
ENSOARG00000003601	101121876	NQO1	NAD(P)H quinone dehydrogenase 1	-0.858599113468194	0.00415840787464893
ENSOARG00000003624	101110423	DOCK9	dedicator of cytokinesis 9	-0.682981324164475	0.0346854853785188
ENSOARG00000003626	101119246	NUMA1	nuclear mitotic apparatus protein 1	-1.05799854745967	0.00113359349987899
ENSOARG00000003633	101120761	TLCD1	TLC domain containing 1	1.43029598925039	0.00686848020333623
ENSOARG00000003635	101107136	FBXW11	F-box and WD repeat domain containing 11	0.583162468525175	0.0252247329002881
ENSOARG00000003636	101107165	FUNDC1	FUN14 domain containing 1	1.04471267557297	0.0047474734487429
ENSOARG00000003637	101122881	PSMD7	proteasome 26S subunit, non-ATPase 7	0.758841019696894	0.0114424605673284
ENSOARG00000003642	101121203	EWSR1	EWS RNA binding protein 1	0.792980965450583	0.00699636785926678
ENSOARG00000003647	101105624	EFNA1	ephrin A1	-0.925139444393488	0.0304628967482205
ENSOARG00000003648		CCNL2	cyclin L2	0.53319172590001	0.0469512799316492
ENSOARG00000003653	101103032	MGRN1	mahogunin ring finger 1	-1.05917351774701	0.00350978495177272
ENSOARG00000003665	101118215	DYNC2H1	dynein cytoplasmic 2 heavy chain 1	-1.04486601801879	0.00302223676361745
ENSOARG00000003666	101113692	ASXL1	ASXL transcriptional regulator 1	1.56060431748952	6.4240762300257e-05
ENSOARG00000003668	101113610	EXOSC10	exosome component 10	0.502825817347385	0.0389680787936997
ENSOARG00000003669	101114208	ZFHX3	zinc finger homeobox 3	-1.1919926676038	0.00352804974093594
ENSOARG00000003674	101105054	VBP1	VHL binding protein 1	0.962842054187421	0.00430951719942282
ENSOARG00000003688	101107032	NUP88	nucleoporin 88	0.44038158681076	0.0338949241758584
ENSOARG00000003705	101106057	CLIC2	chloride intracellular channel 2	1.20670656968043	0.00196248680959812
ENSOARG00000003712	101116484	SPG11	SPG11, spatacsin vesicle trafficking associated	-0.696242003462283	0.00306554295756242
ENSOARG00000003718	101123008	MAPK3	mitogen-activated protein kinase 3	-0.498269479955949	0.026377674229358
ENSOARG00000003723	101123399	DHX38	DEAH-box helicase 38	1.02595505636186	0.00059553607988329
ENSOARG00000003731	101106185	PSME3	proteasome activator subunit 3	0.612680714585219	0.00587468429600503
ENSOARG00000003754	101114917	CTIF	cap binding complex dependent translation initiation factor	-1.27427651148883	0.00383001917844816
ENSOARG00000003760	101102664	DHODH	dihydroorotate dehydrogenase (quinone)	-0.693138834555557	0.0202681356035925
ENSOARG00000003765	101107225	GAS2L1	growth arrest specific 2 like 1	-0.5112270900126	0.0203561956995035
ENSOARG00000003767	101120077	EPHX3	epoxide hydrolase 3	-1.34339219378056	0.00214507817562251
ENSOARG00000003771	101114996	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	-1.67551835056887	0.000911984219250192
ENSOARG00000003775	101121723	FOLH1	folate hydrolase 1B	0.829468877537689	0.0293495537816865
ENSOARG00000003777	101102037	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase	-0.41641253779432	0.0481440136356578
ENSOARG00000003786	101108504	TRMT1L	tRNA methyltransferase 1 like	-0.732354089191613	0.0111539203955559
ENSOARG00000003788	101106133		mucin 1, cell surface associated	4.04499465241211	0.000170630027569059
ENSOARG00000003792	101104317	ANGPTL4	angiopoietin like 4	1.96493659053042	0.000749467077527122
ENSOARG00000003801	101103562	RAB11B	RAB11B, member RAS oncogene family	-0.595614214075391	0.00694519854566351
ENSOARG00000003803	101102921	IST1	IST1, ESCRT-III associated factor	0.766644592478126	0.026800172528492
ENSOARG00000003807	101119753	LRRC51	leucine-rich repeat-containing protein 51	-0.72244284563953	0.0412209683261552
ENSOARG00000003809	101111414	SMAD7	SMAD family member 7	1.96286662807775	0.000572124261290519
ENSOARG00000003810	101111481	ZNF606	zinc finger protein 606	-1.16426951431581	0.00191888716672591
ENSOARG00000003811	101103172	ZNF821	zinc finger protein 821	1.52301875788262	0.000534969276320838
ENSOARG00000003820		NOTCH1	notch 1	-0.925758301862396	0.00824340541533732
ENSOARG00000003824	101107388	UBTD2	ubiquitin domain containing 2	1.15949473385522	0.00385417241256944
ENSOARG00000003827	101119156		zinc finger protein 274	-0.774407732325848	0.0136202525842333
ENSOARG00000003834	101120917	NSD1	nuclear receptor binding SET domain protein 1	-0.908397544469139	0.00870513073853783
ENSOARG00000003835	101103806	MARCH2	membrane associated ring-CH-type finger 2	-0.635665896129948	0.00787502975979425
ENSOARG00000003836	494435	SLC9A1	solute carrier family 9 member A1	-1.18935899982993	0.00280246715874838
ENSOARG00000003850	101108768	FITM2	fat storage inducing transmembrane protein 2	1.03477680109854	0.0104473644034733
ENSOARG00000003882	101115250	YPEL3	yippee like 3	-1.69746083028101	2.3583132527493e-05
ENSOARG00000003884				1.991249335208	7.23882570895516e-05
ENSOARG00000003891	101105169	PTRH2	peptidyl-tRNA hydrolase 2	0.77157124483764	0.0371086784520091
ENSOARG00000003896	101119502	LAMTOR1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1	-0.52843853844367	0.0387500847607457
ENSOARG00000003898	101106034	SH3PXD2B	SH3 and PX domains 2B	-1.38280309207219	0.00428822584873253
ENSOARG00000003902	101117970		HIG1 hypoxia inducible domain family member 1A	1.09667708248709	0.00111130161573544
ENSOARG00000003908	101105408	IRF5	interferon regulatory factor 5	1.7487827606364	7.51053265905339e-05
ENSOARG00000003910	101110522	PIGW	phosphatidylinositol glycan anchor biosynthesis class W	0.541474125232686	0.0292998876168385
ENSOARG00000003943	101110097	BICRAL	BRD4 interacting chromatin remodeling complex associated protein like	-1.14945983949293	0.0337369925115752
ENSOARG00000003944	101104503	TRAM1	translocation associated membrane protein 1	0.53041325504678	0.022444750232158
ENSOARG00000003947	101118243	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2	-0.99811306885705	0.0121125510935127
ENSOARG00000003953	101109095	PPAT	phosphoribosyl pyrophosphate amidotransferase	0.942010417249552	0.0474876493167205
ENSOARG00000003954	101117807	FAM189B	family with sequence similarity 189 member B	-1.06006472389252	0.00042657190498219
ENSOARG00000003955	101109595	GPATCH3	G-patch domain containing 3	0.63251757319722	0.00764337882808684
ENSOARG00000003963	101107632	DUSP1	dual specificity phosphatase 1	1.06507382472447	0.00824726559388344
ENSOARG00000003971	101107397	SPATA6	spermatogenesis associated 6	-0.881750090254233	0.0286596087535127
ENSOARG00000003983	101103543	KDM6A	lysine demethylase 6A	0.989500178953574	0.0130150983219536
ENSOARG00000003997	101115477	HYDIN	HYDIN, axonemal central pair apparatus protein	1.92056795822065	0.00598625032415545
ENSOARG00000003998	101102936	WDR20	WD repeat domain 20	0.507339113634239	0.0429159040441879
ENSOARG00000004007	101111679	LIPG	lipase G, endothelial type	2.57264948185565	0.00211393803982296
ENSOARG00000004022	101121686	TRAPPC9	trafficking protein particle complex 9	-0.902797601901079	0.000895243546023992
ENSOARG00000004024	101108162	RPL26L1	ribosomal protein L26 like 1	0.930357721790153	0.00759832136739857
ENSOARG00000004041	101106353	POP4	POP4 homolog, ribonuclease P/MRP subunit	0.593087733283972	0.00944997459756581
ENSOARG00000004045		ZNF354C	zinc finger protein 354C	-0.864070010863846	0.0124871835785739
ENSOARG00000004046	101111925	ACAA2	acetyl-CoA acyltransferase 2	-0.577493326662049	0.0097817717478549
ENSOARG00000004047	101122153	RBFA	ribosome binding factor A	-1.02498926637155	0.00220991061166243
ENSOARG00000004051	101104259	DVL1	dishevelled segment polarity protein 1	-1.30311470143964	0.000103034613976412
ENSOARG00000004060	101122400	LOC101122400	probable 2-ketogluconate reductase	-0.960372638940069	0.0184535412852182
ENSOARG00000004068	101121713	AP1B1	adaptor related protein complex 1 subunit beta 1	-0.649393784145837	0.00652845619896568
ENSOARG00000004073	101102782	PSD3	pleckstrin and Sec7 domain containing 3	0.845958994667463	0.00934162235333375
ENSOARG00000004075	101111584	NISCH	nischarin	-1.29303102575728	0.00010133984742944
ENSOARG00000004077	101107646	BEND5	BEN domain containing 5	0.751418462827044	0.031110113781565
ENSOARG00000004087	101107379	URI1	URI1, prefoldin like chaperone	0.749578040086496	0.0205601416556494
ENSOARG00000004088	101118780	SLC25A13	solute carrier family 25 member 13	-0.467312539195464	0.0319823450952348
ENSOARG00000004094	101118480	ANO10	anoctamin 10	-0.670773341240332	0.00322497957315202
ENSOARG00000004096	101108952	BNIP1	BCL2 interacting protein 1	1.32083489155292	0.000115177193615609
ENSOARG00000004100	101115751	PPP4C	protein phosphatase 4 catalytic subunit	0.705311647440459	0.0156160862433431
ENSOARG00000004110	101104760	LACTB2	lactamase beta 2	-1.1356965153255	0.000191943589798083
ENSOARG00000004112	101107451	TRAF4	TNF receptor associated factor 4	2.20370712698522	0.00065843370418001
ENSOARG00000004117	101121911	OXSM	3-oxoacyl-ACP synthase, mitochondrial	-1.16841138120755	0.000269893015414232
ENSOARG00000004122	101121677	RAB24	RAB24, member RAS oncogene family	0.893307822180098	0.0120089385588972
ENSOARG00000004134		MED12L	mediator complex subunit 12 like	1.36217713163517	0.000572183537706437
ENSOARG00000004139	101114032		uncharacterized LOC101114032	3.65359451066099	7.86313596343215e-05
ENSOARG00000004160	101122163	C26H16orf87	chromosome 26 open reading frame, human C16orf87	1.02289641963827	0.0184325208579415
ENSOARG00000004164	101110369	RPL7L1	ribosomal protein L7 like 1	0.60282215751911	0.0232301477117882
ENSOARG00000004175	101101932	FZD4	frizzled class receptor 4	-1.6918691498889	0.000210044342527994
ENSOARG00000004182	101114794	ELK4	ELK4, ETS transcription factor	1.51968222080023	0.00082369648018924
ENSOARG00000004189	101112586	MASP2	mannan binding lectin serine peptidase 2	-1.1543388459107	0.00202077802685689
ENSOARG00000004196	101111977	TM9SF2	transmembrane 9 superfamily member 2	-0.506663566791899	0.0322248459603117
ENSOARG00000004205	101120444	MOK	MOK protein kinase	-0.974932259567063	0.0246633401101884
ENSOARG00000004209		P2RY13	purinergic receptor P2Y13	1.56974699019935	0.0181450621198378
ENSOARG00000004215		NFATC1	nuclear factor of activated T cells 1	0.669741819137664	0.00765384477005931
ENSOARG00000004217	101115651	CKAP5	cytoskeleton associated protein 5	1.53840191445098	0.000749467077527122
ENSOARG00000004233	101111580	PML	promyelocytic leukemia	0.926178978204988	0.00427867210930669
ENSOARG00000004235	101122188	MXD3	MAX dimerization protein 3	-1.05273394529081	0.0280709470316748
ENSOARG00000004236	101123475	EMC6	ER membrane protein complex subunit 6	0.994800226550191	0.00526717403218725
ENSOARG00000004237	443211	G6PD	glucose-6-phosphate dehydrogenase	-1.03445096407497	0.00124138280383954
ENSOARG00000004242	101115889	TFB2M	transcription factor B2, mitochondrial	0.773535523136595	0.00767228893454515
ENSOARG00000004243	101116041	ENTR1	endosome associated trafficking regulator 1	0.524529685388406	0.0126518431328347
ENSOARG00000004246	101110884	CNPY3	canopy FGF signaling regulator 3	-1.18153840921218	0.00105421141156068
ENSOARG00000004252	101120571	ILVBL	ilvB acetolactate synthase like	-0.793626028614921	0.00559911901812702
ENSOARG00000004258	101105171	MIS12	MIS12, kinetochore complex component	1.01522821333306	0.00414265337339257
ENSOARG00000004263	101107710	ZDHHC14	zinc finger DHHC-type containing 14	-0.706061234083363	0.0244519364062969
ENSOARG00000004266	101119118	LAGE3	L antigen family member 3	-0.595133492836259	0.0387782727746736
ENSOARG00000004271	101106761	CLSTN3	calsyntenin 3	-1.9967471473517	6.12478857970478e-05
ENSOARG00000004276	101109101	SNX9	sorting nexin 9	0.811858648845198	0.01194929232836
ENSOARG00000004277				2.64662035207416	0.000230399647091345
ENSOARG00000004290				0.873939636759226	0.0176717194590022
ENSOARG00000004296				-0.821879625818183	0.0235051500410394
ENSOARG00000004315	101105582	ACSF2	acyl-CoA synthetase family member 2	-0.961518644814434	0.00342083978990205
ENSOARG00000004320	101110081	FAAP24	FA core complex associated protein 24	0.566033546222863	0.0188906320758591
ENSOARG00000004323	101119573	KCTD11	potassium channel tetramerization domain containing 11	-1.10884027902315	0.00755883056435947
ENSOARG00000004329	101109358	SRP72	signal recognition particle 72	0.486259340400927	0.0196201646945067
ENSOARG00000004331	101108234	SERAC1	serine active site containing 1	0.937531176834235	0.0125201739982756
ENSOARG00000004348	101111978	CLYBL	citrate lyase beta like	-0.980739699263945	0.00199850057197022
ENSOARG00000004362	101107535	KIF1C	kinesin family member 1C	-0.871390508506891	0.000529224210937288
ENSOARG00000004364	101109623	TULP4	tubby like protein 4	-1.3578296049224	0.00181612244989333
ENSOARG00000004368	101112424	LOXL1	lysyl oxidase like 1	-1.29135996829148	0.00119661141177473
ENSOARG00000004374	101109407		myelin basic protein	-1.50391352923743	0.000174134617175234
ENSOARG00000004375	101114101	AHCYL2	adenosylhomocysteinase like 2	0.729274168830126	0.0388291853054761
ENSOARG00000004378	101115295	RAB29	RAB29, member RAS oncogene family	-0.665442714502617	0.0254395093594305
ENSOARG00000004392	101109887	TMEM181	transmembrane protein 181	-0.41539335532924	0.0461551896235803
ENSOARG00000004399	443016	UBB	ubiquitin B	0.818301715944292	0.0073323979179494
ENSOARG00000004401				-0.558087698311516	0.0160585831098869
ENSOARG00000004409	101102234	SYDE1	synapse defective Rho GTPase homolog 1	-0.888360730154831	0.0115143505522339
ENSOARG00000004410	101122805	LZTS3	leucine zipper tumor suppressor family member 3	-0.803716478881387	0.0217307347171512
ENSOARG00000004413	101108064	IFI35	interferon induced protein 35	0.970154440309378	0.013371175169231
ENSOARG00000004418				0.907614765149406	0.0327073977782494
ENSOARG00000004421	101109224	CDKN2C	cyclin dependent kinase inhibitor 2C	-1.50232533179543	6.64914509341618e-05
ENSOARG00000004429	101108935	IVNS1ABP	influenza virus NS1A binding protein	-2.09838248425674	3.33416916500195e-05
ENSOARG00000004434	101110862	PEPD	peptidase D	-0.534682533019287	0.0220558148552528
ENSOARG00000004435	101105644		eukaryotic peptide chain release factor subunit 1	0.711032384548735	0.0162645248933996
ENSOARG00000004438	101110420		ezrin	0.956317010014914	0.0103265441838097
ENSOARG00000004440	101106343	LRRC59	leucine rich repeat containing 59	0.538730361281349	0.0290344340660617
ENSOARG00000004469	101109975	TAGAP	T cell activation RhoGTPase activating protein	1.40343653982435	0.0123354506490728
ENSOARG00000004477	101113712	EED	embryonic ectoderm development	0.553398425971412	0.0310686872593701
ENSOARG00000004481		ADO	2-aminoethanethiol dioxygenase	-1.1515516650458	0.00109627667238289
ENSOARG00000004482				-1.17952477884082	0.00322948751720274
ENSOARG00000004489	101122407	EGR2	early growth response 2	-1.21127157412393	0.0107179933884204
ENSOARG00000004501	101118814	PCSK7	proprotein convertase subtilisin/kexin type 7	0.704388526204198	0.0101851815004846
ENSOARG00000004502	101112413	GPI	glucose-6-phosphate isomerase	-0.570283904434925	0.0305210926425197
ENSOARG00000004516	101123317	UBOX5	U-box domain containing 5	0.554432944185688	0.0224369821241275
ENSOARG00000004525	101121346	RNF187	ring finger protein 187	-1.07329602801168	0.0034710778018723
ENSOARG00000004528	101122660	NRBF2	nuclear receptor binding factor 2	0.594943610078185	0.0420285197772743
ENSOARG00000004539	101111975	ACAT2	acetyl-CoA acetyltransferase 2	0.835754377494482	0.00777535712465829
ENSOARG00000004540	101121898	AP2A2	adaptor related protein complex 2 subunit alpha 2	-0.598476777215072	0.0101643892262286
ENSOARG00000004546				1.12093064631508	0.00101485762197479
ENSOARG00000004559	101118636	DCUN1D5	defective in cullin neddylation 1 domain containing 5	1.35137831712424	0.00086837504720357
ENSOARG00000004561	101112235	TMTC4	transmembrane and tetratricopeptide repeat containing 4	-1.6029592108537	0.00032950431291061
ENSOARG00000004562	101110470	ZADH2	zinc binding alcohol dehydrogenase domain containing 2	-1.20168458974155	0.000507629183391199
ENSOARG00000004567	101105897	GTF2A1L	general transcription factor IIA subunit 1 like	1.76623229129859	0.000168855693109812
ENSOARG00000004573		VAC14	Vac14, PIKFYVE complex component	-0.495211528036412	0.0184164699845642
ENSOARG00000004582	101106603	EME1	essential meiotic structure-specific endonuclease 1	-0.492922099223212	0.0350125849403853
ENSOARG00000004590	101120032	DAP3	death associated protein 3	1.08768826160548	0.00148209857820073
ENSOARG00000004591	101117041	HIRIP3	HIRA interacting protein 3	-1.13309050850639	0.000227699972646432
ENSOARG00000004612	101120534	MSTO1	misato 1, mitochondrial distribution and morphology regulator	-0.680172337110198	0.00744181076268682
ENSOARG00000004617	101102014	LOC101102014	hydroxycarboxylic acid receptor 2	1.94266475168816	0.00379663496981358
ENSOARG00000004623	100302074	GDI1	GDP dissociation inhibitor 1	-0.639777532534655	0.0185935619854644
ENSOARG00000004639	101122109	KLHL8	kelch like family member 8	-0.628874832657086	0.0138914726154562
ENSOARG00000004641				-0.812515675159388	0.0421555628731371
ENSOARG00000004646	101123033	TRIM11	tripartite motif containing 17	0.5425120933643	0.0353422612211763
ENSOARG00000004649	101108323	RND2	Rho family GTPase 2	-0.682876151356347	0.0447719346791547
ENSOARG00000004660	101122883	GRAMD1A	GRAM domain containing 1A	0.580041248746549	0.0494194474773191
ENSOARG00000004673	101106669	PPP1R21	protein phosphatase 1 regulatory subunit 21	-0.505962228578467	0.0185826479394656
ENSOARG00000004680	101113638	SH3PXD2A	SH3 and PX domains 2A	-1.13728894935195	0.0324698747718367
ENSOARG00000004687	101107112	XYLT2	xylosyltransferase 2	-0.563745038776501	0.0339473617033062
ENSOARG00000004702	101118728	LRP4	LDL receptor related protein 4	-1.2656319089539	0.0382877264777229
ENSOARG00000004704	101118351	LRIG3	leucine rich repeats and immunoglobulin like domains 3	-1.35692351046927	0.003840631901958
ENSOARG00000004706	101108401	FLOT2	flotillin 2	-0.712510040007396	0.0103231133598329
ENSOARG00000004708	101122325	REEP3	receptor accessory protein 3	0.645735414173712	0.00748132588704242
ENSOARG00000004723		CENPB	centromere protein B	-1.13500716099917	0.000227699972646432
ENSOARG00000004735				1.1772906129781	0.000948067159421806
ENSOARG00000004736	101102331	LSR	lipolysis stimulated lipoprotein receptor	-1.35804691953566	0.000353476702953546
ENSOARG00000004776	101110885	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta	-0.767860657897906	0.00791916484943524
ENSOARG00000004778	101115024	UBE2H	ubiquitin conjugating enzyme E2 H	0.721997771506254	0.0187525983326224
ENSOARG00000004790	443113	MMP13	matrix metallopeptidase 13	5.60621114243518	5.15401201156965e-05
ENSOARG00000004807	101107096	ADGRE1	adhesion G protein-coupled receptor E1	-1.33860014331517	0.00216917636709987
ENSOARG00000004814	101108119	LPCAT3	lysophosphatidylcholine acyltransferase 3	-0.69645828855856	0.00247178352056722
ENSOARG00000004820	101118866	ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog	-0.517514983835373	0.0463321117933442
ENSOARG00000004835	101108584	BRCA1	BRCA1, DNA repair associated	-1.59251017974414	0.000532592121467704
ENSOARG00000004838	101121972	NIPSNAP1	nipsnap homolog 1	-1.02888521542035	0.0135307350256725
ENSOARG00000004843	101120567	C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	0.563695990436746	0.0352413179683722
ENSOARG00000004845	101119778	C18orf54	chromosome 23 open reading frame, human C18orf54	0.766381422487696	0.019029020601033
ENSOARG00000004871	443483	COL1A1	collagen type I alpha 1 chain	-0.96407205160918	0.0011686418266819
ENSOARG00000004872	101114529	MPC1	mitochondrial pyruvate carrier 1	0.700010927865927	0.0118679659389076
ENSOARG00000004883	101113896	STN1	STN1, CST complex subunit	-1.10476026958951	0.00118492551072007
ENSOARG00000004895	101114530	RPS6KA2	ribosomal protein S6 kinase A2	-1.16575068061343	0.00128259331758854
ENSOARG00000004897	101108500	CAMTA2	calmodulin binding transcription activator 2	-0.711838793939379	0.0213013944445644
ENSOARG00000004898	101121973	RCOR1	REST corepressor 1	1.1237629813282	0.0263757965970618
ENSOARG00000004903	101113362	ANKRA2	ankyrin repeat family A member 2	0.689249224677805	0.00770170044155874
ENSOARG00000004907	101115452	ZC3HC1	zinc finger C3HC-type containing 1	0.755712943331694	0.00321435208642856
ENSOARG00000004909	101114785	RNASET2	ribonuclease T2	-0.471146564820789	0.0260941965229182
ENSOARG00000004910	101119047	GAR1	GAR1 ribonucleoprotein	0.642048800313128	0.0212171208941158
ENSOARG00000004914	101118455	COX11	cytochrome c oxidase assembly protein COX11, mitochondrial	-0.399294576350952	0.0445013496609541
ENSOARG00000004923	101108377	EMG1	EMG1, N1-specific pseudouridine methyltransferase	1.19522961386657	0.00218064038449047
ENSOARG00000004926	101103835	RBM42	RNA binding motif protein 42	0.56400602011372	0.0418913874822412
ENSOARG00000004941	101105627	PBLD	phenazine biosynthesis like protein domain containing	-1.04668496240484	0.000678251263016579
ENSOARG00000004948	101112859	BTF3L4	basic transcription factor 3 like 4	0.530280742005705	0.0331010869984022
ENSOARG00000004950	101106423	KLHDC10	kelch domain containing 10	1.13030228332122	0.000482523582135646
ENSOARG00000004957	101106003	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta	0.912846435697904	0.0131768672329567
ENSOARG00000004966	101120146	DNASE1L1	deoxyribonuclease 1 like 1	-0.99949581358957	0.00460311155594517
ENSOARG00000004978	100036758	TRAF3	TNF receptor associated factor 3	1.7684714095114	8.33710797820418e-05
ENSOARG00000004981	101104959	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3	0.891751593260285	0.00263758645163432
ENSOARG00000004983	101107354	VAV1	vav guanine nucleotide exchange factor 1	1.05301040085245	0.000610956206931765
ENSOARG00000004988	101115800	AFDN	afadin, adherens junction formation factor	-2.69040546051488	0.000421475838967739
ENSOARG00000004999	101112118	CEP85	centrosomal protein 85	-0.949185489288817	0.0153891708427928
