ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100_1_hit.vs.Ctrl_1_hit.astro.p.value
ENSOARG00000007614	101110905	ACSL1	acyl-CoA synthetase long chain family member 1	1.13055833337873	0.00916073386864678
ENSOARG00000007622	100174905	PSMB8	proteasome subunit beta 8	1.23097914803021	0.0261101695334461
ENSOARG00000007675	101104340	RELT	RELT, TNF receptor	-1.85032155980594	0.00339816481166681
ENSOARG00000007693	101119328	NUDT7	nudix hydrolase 7	-1.31342638369777	0.0380476721895819
ENSOARG00000007707	101106001	NRCAM	neuronal cell adhesion molecule	0.992152941327494	0.0180361371028932
ENSOARG00000007713	101121165	NAB2	NGFI-A binding protein 2	-1.11981213619659	0.0174598685840559
ENSOARG00000007814	101105303	SYK	spleen associated tyrosine kinase	-1.5479468797701	0.000412937311961398
ENSOARG00000007826	101102020	PLPP3	phospholipid phosphatase 3	1.4012697452048	0.0022303322127568
ENSOARG00000007856				1.13586802756186	0.0079698004339754
ENSOARG00000007878	101117768	NCOA7	nuclear receptor coactivator 7	1.42138876153875	0.00431088037869561
ENSOARG00000007893				-1.01904382256742	0.0386358146347466
ENSOARG00000008014	101104584	LRCH1	leucine rich repeats and calponin homology domain containing 1	1.27939562253951	0.00227996971024363
ENSOARG00000008019	101117182	NMT2	N-myristoyltransferase 2	-1.01930308786519	0.00965333181190635
ENSOARG00000008067		SNX18	sorting nexin 18	-1.01249248092563	0.00590056937899876
ENSOARG00000008099	101108327	SAMD11	sterile alpha motif domain containing 11	-1.99341756976523	0.000949443154406966
ENSOARG00000008119	443323	FST	follistatin	1.19757498757778	0.00173082571810586
ENSOARG00000008124	100145881	ARL4A	ADP ribosylation factor like GTPase 4A	1.22618797614036	0.0314457431633284
ENSOARG00000008126	101115854	FAM149A	family with sequence similarity 149 member A	-1.03966091020137	0.00961971875329857
ENSOARG00000008221				-1.42200028112785	0.00355375040663195
ENSOARG00000008243	101102721	NOD1	nucleotide binding oligomerization domain containing 1	1.6338602425442	0.000150703510371388
ENSOARG00000008246	100144755	RB1	RB transcriptional corepressor 1	1.31138840377002	0.00382099273704599
ENSOARG00000008264	101116803	FMNL2	formin like 2	0.956097175037758	0.0208187583956167
ENSOARG00000008348	101110387	ZNF484	zinc finger protein 484	-1.25465151845684	0.00573115729912474
ENSOARG00000008349		TACSTD2	tumor associated calcium signal transducer 2	1.80409832533092	0.00280386276011499
ENSOARG00000008357	101117649	STAM2	signal transducing adaptor molecule 2	1.19946967824129	0.00216095429610407
ENSOARG00000008407	101106579	BAZ2A	bromodomain adjacent to zinc finger domain 2A	0.871179366039302	0.0162843310985415
ENSOARG00000008439	101115550	CDADC1	cytidine and dCMP deaminase domain containing 1	1.29477089563904	0.00517263240968538
ENSOARG00000008454	101107113	CDK3	cyclin dependent kinase 3	-1.20739127237781	0.0260232596490588
ENSOARG00000008521	101113847		SHC adaptor protein 2	-0.961772103340515	0.0333118617627884
ENSOARG00000008526	101112273	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	1.45567280080539	0.000103406273473951
ENSOARG00000008531	101116325		PHD finger protein 11	0.927529086371985	0.0237404458919466
ENSOARG00000008549	101120235	C7orf25	chromosome 4 open reading frame, human C7orf25	-1.18654621590065	0.00661114675957892
ENSOARG00000008614	101105772	PHLDB3	pleckstrin homology like domain family B member 3	2.05304807814046	6.52981754624738e-05
ENSOARG00000008621				-1.47775849396181	0.000925981486798301
ENSOARG00000008628				1.7035705811941	0.000125880958321759
ENSOARG00000008656	101109631	FBLIM1	filamin binding LIM protein 1	-1.02206038043077	0.0159209358950532
ENSOARG00000008683	101113725	CTSL	cathepsin L	1.4183684221716	0.013613900828168
ENSOARG00000008705	101121880	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	-1.18092434860978	0.013639420582931
ENSOARG00000008789	101107484	PC	pyruvate carboxylase	-0.97442983922118	0.0167734187188095
ENSOARG00000008819	101102442	ROCK1	Rho associated coiled-coil containing protein kinase 1	0.926482076897023	0.0441083948846489
ENSOARG00000008856	101106799	FBXO33	F-box protein 33	2.42565278256908	2.49971912964647e-05
ENSOARG00000008878	101102779	CD84	CD84 molecule	1.16517011548945	0.00911707252736427
ENSOARG00000008882	101119671		tankyrase 1 binding protein 1	-0.817326360743417	0.0208187583956167
ENSOARG00000008941	101107878	TRIM65	tripartite motif-containing protein 47	-1.14308958160106	0.00282342852804238
ENSOARG00000008971	101118416	KIF27	kinesin family member 27	1.32759396914816	0.0229146113720268
ENSOARG00000008995	101119603	DNAJC13	DnaJ heat shock protein family (Hsp40) member C13	1.38216723209639	0.000659223494326145
ENSOARG00000009038	101104937	C14orf28	chromosome 18 open reading frame, human C14orf28	1.70723025866112	0.0198299309313928
ENSOARG00000009089	443229	SMAD1	SMAD family member 1	1.05611820913406	0.0256051224272157
ENSOARG00000009091	101103186	SMTN	smoothelin	-1.07559340725131	0.0038760111672255
ENSOARG00000009154	101108211	STAT2	signal transducer and activator of transcription 2	1.8611053909669	5.78561080288154e-05
ENSOARG00000009182	101103972	TAX1BP1	Tax1 binding protein 1	0.880198007063448	0.0113751304180522
ENSOARG00000009334	101101952	UBAP1	ubiquitin associated protein 1	1.11544514400236	0.00537211698290814
ENSOARG00000009363	100135692	GLRX2	glutaredoxin 2	1.59149385927595	0.00160501012178978
ENSOARG00000009378	101104097	PDZRN3	PDZ domain containing ring finger 3	1.00912865737706	0.0053190597273566
ENSOARG00000009386	101120049	VPS37A	VPS37A, ESCRT-I subunit	1.06860788894441	0.00137880387563708
ENSOARG00000009391	100170652	TAPBP	TAP binding protein	0.916116050719046	0.0080296532280838
ENSOARG00000009419	101115146		zinc finger MYND-type containing 8	-0.986475582073564	0.00550110998403146
ENSOARG00000009431	101104604	DAB2	DAB2, clathrin adaptor protein	-1.12970259519917	0.00451988807633707
ENSOARG00000009440	101118145	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2	-1.15070565082575	0.00543957922404543
ENSOARG00000009446	101113890	PPP4R2	protein phosphatase 4 regulatory subunit 2	0.897407691087817	0.026613011504342
ENSOARG00000009459	101122542	SDR42E1	short chain dehydrogenase/reductase family 42E, member 1	-1.05503838741877	0.0140334468762734
ENSOARG00000009500	101118493	SMNDC1	survival motor neuron domain containing 1	1.07952951173949	0.00191387789287139
ENSOARG00000009523	100147785	SLC25A15	solute carrier family 25 member 15	-0.976458522673453	0.0439699300808712
ENSOARG00000009529	101106385	TGFB1I1	transforming growth factor beta 1 induced transcript 1	-1.13693131281698	0.0214177778660003
ENSOARG00000009544	100620048	B4GALT1	beta-1,4-galactosyltransferase 1	1.07477512992664	0.00126492264098463
ENSOARG00000009555	101108931	H3F3B	H3 histone, family 3B	1.12632296465653	0.00310210380082803
ENSOARG00000009599	101109831	ALDH1A3	aldehyde dehydrogenase 1 family member A3	1.26574038735038	0.0151419466930822
ENSOARG00000009611	101104133	LOC101104133	myc box-dependent-interacting protein 1-like	-0.903998798693724	0.0111363449672041
ENSOARG00000009614	443154	HYAL2	hyaluronidase 2	-0.92286061524754	0.00608958882455858
ENSOARG00000009641		HDAC9	histone deacetylase 9	-1.26633849153552	0.0156192600178393
ENSOARG00000009671	101119683	GTF2H1	general transcription factor IIH subunit 1	0.946869869822791	0.00782651506457906
ENSOARG00000009673	101117478	FMR1	fragile X mental retardation 1	0.890587052235903	0.013900099064395
ENSOARG00000009682	101105528	RICTOR	RPTOR independent companion of MTOR complex 2	2.13445180773375	0.00163361437052764
ENSOARG00000009727				1.03022592174634	0.00790033351627139
ENSOARG00000009804	101118970		acyl-CoA binding domain containing 4	-0.99545164775636	0.040401897013944
ENSOARG00000009845	101105948	OSMR	oncostatin M receptor	2.01110493356244	1.21288271159148e-05
ENSOARG00000009856	101118541	HEXIM2	hexamethylene bisacetamide inducible 2	-1.30843028904433	0.0298719944225738
ENSOARG00000009901	101113127		PEAK1 related, kinase-activating pseudokinase 1	-1.38623262113981	0.00445999173151976
ENSOARG00000009911	101107197	PROM1	prominin 1	1.63848556620098	0.006347230943632
ENSOARG00000009918	101119284	DOCK5	dedicator of cytokinesis 5	-1.2110691704183	0.0041386900705892
ENSOARG00000009988	101108527	ANKRD13D	ankyrin repeat domain-containing protein 13D	-1.16881514938742	0.00436030830952301
ENSOARG00000010070	100192433	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)	1.68824190306707	0.00562788149146435
ENSOARG00000010089	101111559	PIP4P2	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2	3.00293842999835	0.00295033753668312
ENSOARG00000010093	101115231	TRAFD1	TRAF-type zinc finger domain containing 1	1.24455047226133	0.0261009826989653
ENSOARG00000010111	101106998	LOC101106998	protein ARMCX6	-1.31597662729685	0.000659223494326145
ENSOARG00000010116	101112169	ARRDC4	arrestin domain containing 4	1.18042173848677	0.00130190084301862
ENSOARG00000010146	101121074	R3HCC1	R3H domain and coiled-coil containing 1	-0.88573356227286	0.0291703139828921
ENSOARG00000010182	101107445	TAPT1	transmembrane anterior posterior transformation 1	1.43212610554946	0.000338641353530757
ENSOARG00000010183	100126575	CTTNBP2	cortactin binding protein 2	-1.3489756301161	0.000394924095486468
ENSOARG00000010205	101118824	CDC5L	cell division cycle 5 like	1.28066580229043	0.000541356486247672
ENSOARG00000010224	101106622	POLD3	DNA polymerase delta 3, accessory subunit	1.67067944541458	0.000234236054869067
ENSOARG00000010311	101109005	CIZ1	CDKN1A interacting zinc finger protein 1	-0.939917527390059	0.00740972557218749
ENSOARG00000010324	101116017		solute carrier family 39 member 14	1.981462657214	0.000389362026304879
ENSOARG00000010361	101120680	TSEN54	tRNA splicing endonuclease subunit 54	-0.918976208366299	0.0225557867519968
ENSOARG00000010373	101113940	MICAL1	microtubule associated monooxygenase, calponin and LIM domain containing 1	-1.04256482402419	0.00402317271188049
ENSOARG00000010395		TGIF1	TGFB induced factor homeobox 1	1.04105375915552	0.0396649144815011
ENSOARG00000010480	101120933	CASKIN2	CASK interacting protein 2	-0.970966503148332	0.0173512353550962
ENSOARG00000010489	101115961	CNN2	calponin 2	-0.957986026540015	0.0106179970719867
ENSOARG00000010493	101116073	ATF3	activating transcription factor 3	2.18659521086859	0.00243819594740115
ENSOARG00000010543	101115893	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	-1.27586998164899	0.0138803315199204
ENSOARG00000010564	101120274	RSRC2	arginine and serine rich coiled-coil 2	0.802910181475998	0.0319492866179911
ENSOARG00000010632	101104996	TET2	tet methylcytosine dioxygenase 2	0.953405305663442	0.0420178936139899
ENSOARG00000010638	101104138	NLRC4	NLR family CARD domain containing 4	-1.30881688452533	0.035100880569678
ENSOARG00000010732	101112279	ITPRIPL2	ITPRIP like 2	0.913565558851455	0.0496753408639803
ENSOARG00000010808	101112975	TEAD4	TEA domain transcription factor 4	1.24889162203855	0.000732252698997643
ENSOARG00000010841	101120490	DNAH11	dynein axonemal heavy chain 11	-1.31406807370308	0.0156192600178393
ENSOARG00000010878	101109261		prostaglandin E synthase 2	-1.09799101320666	0.0165132598445259
ENSOARG00000010889				1.4225029705983	0.00675211686145181
ENSOARG00000010897	101102077	SELL	selectin L	1.22769482265194	0.0186909941825541
ENSOARG00000010903	101113806	MIER1	MIER1 transcriptional regulator	1.15885817146906	0.00434984878790026
ENSOARG00000010924	101115396	EXOSC6	exosome component 6	-1.25585889910374	0.0105113256810864
ENSOARG00000010971	554326	TGFBR1	transforming growth factor beta receptor 1	0.973571999633095	0.0245982221113262
ENSOARG00000010984	101121743	PDE9A	phosphodiesterase 9A	-1.12121860978468	0.044823607250953
ENSOARG00000011005	101118296	C5AR1	complement C5a receptor 1	1.06370698897802	0.0102303579776359
ENSOARG00000011009	101102402	TEX14	testis expressed 14, intercellular bridge forming factor	1.52046556395578	0.0376525994404712
ENSOARG00000011030	101105620	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	0.977706151651155	0.0125148563746304
ENSOARG00000011033	101112135	HAVCR2	hepatitis A virus cellular receptor 2	1.24995349301394	0.00796875532910392
ENSOARG00000011043		ZC3HAV1	zinc finger CCCH-type containing, antiviral 1	1.40315068281808	0.0028576687038709
ENSOARG00000011159	101121120	CLIP1	CAP-Gly domain containing linker protein 1	1.04036986650512	0.013900099064395
ENSOARG00000011167	101106100	CMTR2	cap methyltransferase 2	1.73612410106799	0.00212802073055305
ENSOARG00000011169	101104916		CCAAT/enhancer binding protein (C/EBP), delta	1.10641876473595	0.00562788149146435
ENSOARG00000011204	101113568	GRIPAP1	GRIP1 associated protein 1	0.965500584386348	0.00319891876956427
ENSOARG00000011235	101122497		salt inducible kinase 1	1.40812949612754	0.0296711672776266
ENSOARG00000011284	101105595	SDHAF1	succinate dehydrogenase complex assembly factor 1	-1.2425829302305	0.0463278217142979
ENSOARG00000011321	100302085	AK1	adenylate kinase 1	-1.00525660992663	0.0217495459358601
ENSOARG00000011332	101113676	CBARP	CACN subunit beta associated regulatory protein	-0.919756180696554	0.0174598685840559
ENSOARG00000011342	101108418	ARRB1	arrestin beta 1	-1.26765818342011	0.00121120172006533
ENSOARG00000011354	101120765	KLHL21	kelch like family member 21	-0.920608241319645	0.0137280570222652
ENSOARG00000011356	101115240	GADD45A	growth arrest and DNA damage inducible alpha	-1.26650214430339	0.00245069395715951
ENSOARG00000011359	101117736		MAP7 domain containing 3	-0.875864806398879	0.0374122833782547
ENSOARG00000011371	101106632		ataxin 7	1.11206493544089	0.0156145961272397
ENSOARG00000011385		TMEM42	transmembrane protein 42	-1.48515933953759	0.00162774985852074
ENSOARG00000011464	101115845	SYT17	synaptotagmin 17	-1.04541194294049	0.0463278217142979
ENSOARG00000011474	101101964	FPGS	folylpolyglutamate synthase	-0.947287638379259	0.0274402825533586
ENSOARG00000011489	101105055	SLC9A6	solute carrier family 9 member A6	-0.894006178636753	0.0332217607272834
ENSOARG00000011532	101106591	LOC105601870	transmembrane p24 trafficking protein 7	1.25244688484299	0.000535335889023351
ENSOARG00000011574	101106090	RAD51C	RAD51 paralog C	-1.12856903252257	0.0275712726877405
ENSOARG00000011581		ZSWIM9	zinc finger SWIM-type containing 9	-0.935493250933408	0.0473611185725785
ENSOARG00000011659	101122124	LYPLAL1	lysophospholipase like 1	-0.979757759268419	0.0384690815501997
ENSOARG00000011662		IQSEC3	IQ motif and Sec7 domain 3	-1.58089779622091	0.00860915795984538
ENSOARG00000011725	101106345	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E	-1.04149985857373	0.0363404855747574
ENSOARG00000011727	101112675	RAI14	retinoic acid induced 14	1.14104209971272	0.00337648679131809
ENSOARG00000011891	101121531	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	-2.38336278405031	3.88936618831858e-06
ENSOARG00000011893	101115458	APC2	APC2, WNT signaling pathway regulator	-1.22313775598255	0.0121493448823093
ENSOARG00000011950	101111986		kinesin family member 16B	-1.02052246071855	0.0189405856323537
ENSOARG00000011954	101111818	FDXR	ferredoxin reductase	-1.19911255826876	0.00280839596513664
ENSOARG00000011987	100217404	SIRT4	sirtuin 4	-1.28054318986101	0.0370480228139157
ENSOARG00000012099				-1.10298106381667	0.00914855544116549
ENSOARG00000012111	101108724	PHF6	PHD finger protein 6	1.01048349470739	0.0388304411554147
ENSOARG00000012145	101114336	WAS	Wiskott-Aldrich syndrome	-1.23370934333434	0.00661002504882543
ENSOARG00000012151	101103375	PIR	pirin	-1.17432528841176	0.0310993828997679
ENSOARG00000012181	101122708	TLK2	tousled like kinase 2	1.19986728407062	0.00784382504025305
ENSOARG00000012185	101115084	RCSD1	RCSD domain containing 1	-1.36224316631878	0.0076584189172277
ENSOARG00000012299	101110740	TLE1	transducin-like enhancer protein 1	1.00842233745786	0.0194455899891723
ENSOARG00000012307	101108744	LRRC25	leucine rich repeat containing 25	-1.37965474984637	0.00375725885429218
ENSOARG00000012324				-1.05712623064676	0.00929394434952897
ENSOARG00000012325	101104096	RCCD1	RCC1 domain containing 1	-1.35701969971239	0.0160734307092982
ENSOARG00000012334	101108429	PXK	PX domain containing serine/threonine kinase like	1.39761964689542	0.0080676337349189
ENSOARG00000012336	101111783	TLE4	transducin like enhancer of split 4	0.941882120427826	0.0289434382201563
ENSOARG00000012340	101118254	C1QL2	complement C1q like 2	2.96485460785595	3.10359241215549e-05
ENSOARG00000012365		INKA1	inka box actin regulator 1	-1.8195604003074	0.00479090942076324
ENSOARG00000012371	101112035	CEP78	centrosomal protein 78	-0.903105054116938	0.024731964348013
ENSOARG00000012415	101120430		opioid growth factor receptor	1.47610552702316	0.0124470399457357
ENSOARG00000012448	101106028		zinc finger protein 469	1.19879798892427	0.00911707252736427
ENSOARG00000012470	101119138	SH3TC1	SH3 domain and tetratricopeptide repeats 1	-1.49816683508308	0.00193152727850333
ENSOARG00000012500	101121112	ZNFX1	zinc finger NFX1-type containing 1	1.95533908296012	0.000206472579116069
ENSOARG00000012526	101110892	SLC25A28	solute carrier family 25 member 28	2.07091654603682	0.000361349686636071
ENSOARG00000012636	101111622	MVB12B	multivesicular body subunit 12B	-1.13503167244367	0.0351995314567588
ENSOARG00000012642	101114203	DARS2	aspartyl-tRNA synthetase 2, mitochondrial	-1.14022050351543	0.0190556207017503
ENSOARG00000012652	101117148	RTKN	rhotekin	-1.80088311912941	0.00124734008271997
ENSOARG00000012666	101113542	JARID2	jumonji and AT-rich interaction domain containing 2	0.915645849579841	0.0241386627874083
ENSOARG00000012721	101110084	TRPM4	transient receptor potential cation channel subfamily M member 4	-1.45111515305483	0.000915087400050842
ENSOARG00000012750				-1.43866679987876	0.0026441104836708
ENSOARG00000012754		ATXN3	ataxin 3	1.63734315192258	0.00305496639006283
ENSOARG00000012798	101105684	TMEM41B	transmembrane protein 41B	1.06816328763153	0.0224793914845374
ENSOARG00000012805	101102701	CEMIP2	cell migration inducing hyaluronidase 2	1.44718424768228	0.000305145499181431
ENSOARG00000012838	101120650	DOK1	docking protein 1	-1.39178573584178	0.00022952126513921
ENSOARG00000012845	101116670	B4GALT5	beta-1,4-galactosyltransferase 5	1.07720409692553	0.00867616764791921
ENSOARG00000012879	101120908	SEMA4F	ssemaphorin 4F	-1.18797729779731	0.00675211686145181
ENSOARG00000012911	101111376	RNGTT	RNA guanylyltransferase and 5'-phosphatase	1.35857001101572	0.0025905586329879
ENSOARG00000012942	101106502	RABEPK	Rab9 effector protein with kelch motifs	-1.02557929936446	0.0137463979851862
ENSOARG00000012945	101105631	CTPS2	CTP synthase 2	-0.839636233102097	0.0466888277013334
ENSOARG00000012946	101120714	IPMK	inositol polyphosphate multikinase	1.36216277031448	0.0183767516913513
ENSOARG00000012948	101122510	FHL2	four and a half LIM domains 2	-0.972757095282432	0.0437079930900303
ENSOARG00000012967	100820738	AKIRIN2	akirin 2	0.875295994764112	0.0221091298277851
ENSOARG00000012988	101105978	APBA1	amyloid beta precursor protein binding family A member 1	1.79385249092713	0.0169224631941548
ENSOARG00000013013	101114245	SYN1	synapsin I	1.38567435062634	0.00245069395715951
ENSOARG00000013043	101106445	TTYH2	tweety family member 2	-1.37936294439044	0.00119319458890012
ENSOARG00000013051	101107829	SDHAF2	succinate dehydrogenase complex assembly factor 2	1.46418204074397	0.00398763703381932
ENSOARG00000013102	101114986	ETS1	ETS proto-oncogene 1, transcription factor	1.31858779863917	0.00544805162726343
ENSOARG00000013152	101122045	RNF114	ring finger protein 114	1.04782421395835	0.0083479982175675
ENSOARG00000013159	101103308	IL1R2	interleukin 1 receptor type 2	1.4769328066201	0.00385784149590712
ENSOARG00000013161	101110364	MMP11	matrix metallopeptidase 11	-1.44576905286613	0.00674728349976346
ENSOARG00000013203	101117042	HIP1	huntingtin interacting protein 1	-1.03463687016846	0.0286439390547567
ENSOARG00000013208	101112131	DENND2A	DENN domain containing 2A	-0.943707140764062	0.0125148563746304
ENSOARG00000013211	101109511	KANK1	KN motif and ankyrin repeat domains 1	-0.940525682862282	0.00990307981021862
ENSOARG00000013212	101113514	NSUN6	NOP2/Sun RNA methyltransferase family member 6	-1.01691841453909	0.037492141230319
ENSOARG00000013252	101113913	CUL4B	cullin 4B	1.34407642651934	0.00398763703381932
ENSOARG00000013309	443363	IFNAR2	interferon alpha and beta receptor subunit 2	1.75921806941425	3.67632860633069e-06
ENSOARG00000013311	101116737	TONSL	tonsoku like, DNA repair protein	-1.09023832540601	0.0212660135479789
ENSOARG00000013335	780485	IRF3	interferon regulatory factor 3	1.93379165363415	0.00112324487208723
ENSOARG00000013378	101111939	GLIS3	GLIS family zinc finger 3	1.06596808895614	0.0339092262811892
ENSOARG00000013421	101103357	IFI44L	interferon induced protein 44 like	2.1907944782558	0.000913901088638116
ENSOARG00000013426	101106607	TAF1A	TATA-box binding protein associated factor, RNA polymerase I subunit A	1.07414454627542	0.023309545978424
ENSOARG00000013440	101110473	IFI44	interferon induced protein 44	2.65993943693493	0.000447991326730389
ENSOARG00000013452	101107510	MITD1	microtubule interacting and trafficking domain containing 1	0.981635291652926	0.0397165211737864
ENSOARG00000013475		CECR2	CECR2, histone acetyl-lysine reader	-1.57902797022275	0.0219552122761136
ENSOARG00000013544	101115510	RIC1	RIC1 homolog, RAB6A GEF complex partner 1	1.53483261625263	0.000131174425327185
ENSOARG00000013598		RGS12	regulator of G protein signaling 12	-1.07917250525159	0.0183062321154417
ENSOARG00000013655	101111802	MAST3	microtubule associated serine/threonine kinase 3	-1.15468805752567	0.00740972557218749
ENSOARG00000013672	101117476	GLDC	glycine decarboxylase	-0.977291726693437	0.0166164027641612
ENSOARG00000013724		PEX26	peroxisomal biogenesis factor 26	-1.1473480632514	0.0108409144423073
ENSOARG00000013742	101108898	LHX2	LIM homeobox 2	-1.31307220297005	0.00656215082946959
ENSOARG00000013845	101108615	FADS2	fatty acid desaturase 2	1.67394644298852	0.0080482787623959
ENSOARG00000013856	101107908	LOC101107908	BOLA class I histocompatibility antigen, alpha chain BL3-7-like	1.00056550276704	0.0261009826989653
ENSOARG00000013863	101103759	KDM2B	lysine demethylase 2B	-1.30886655322762	0.00172544637162314
ENSOARG00000013880	101106862	AIDA	axin interactor, dorsalization associated	1.29136899901047	0.00636881811255411
ENSOARG00000013885	101122538	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	-0.927329837358	0.037492141230319
ENSOARG00000013903	100307049	STAT1	signal transducer and activator of transcription 1	1.21948840169524	0.00570963376720248
ENSOARG00000013910	101121177	AKAP7	A-kinase anchoring protein 7	2.22206936999883	0.00567352653473613
ENSOARG00000013921	100381250	UBE2B	ubiquitin conjugating enzyme E2 B	1.01157022038744	0.00654150543971656
ENSOARG00000013927	101104530	LOC101104530	ras-related protein Rap-2c-like	-1.05534039015729	0.00552609064512933
ENSOARG00000013952	101115929	MORC3	MORC family CW-type zinc finger 3	1.40893507191636	0.000712364140510606
ENSOARG00000013965	101110920	RC3H2	ring finger and CCCH-type domains 2	1.17438669185059	0.0309703156176678
ENSOARG00000013970	101117176	RAB11FIP4	RAB11 family interacting protein 4	-1.50258362376819	0.0044080180566695
ENSOARG00000014119	101107973	RARA	retinoic acid receptor alpha	-1.04099368285516	0.00662618258410256
ENSOARG00000014137	101119985	MAT2B	methionine adenosyltransferase 2B	1.86510712820278	0.00088492389439406
ENSOARG00000014195	101118760	TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	1.50539506517044	0.00715774003511954
ENSOARG00000014227	101108241	SUCO	SUN domain containing ossification factor	1.4305985667894	0.00138081794679457
ENSOARG00000014239		NFATC2	nuclear factor of activated T cells 2	-1.28518920754519	0.0125863647581358
ENSOARG00000014248		LAYN	layilin	2.18387036424799	0.0252894017580206
ENSOARG00000014254	101111926	RPUSD1	RNA pseudouridylate synthase domain-containing protein 1	-1.28915429954352	0.0160802017813124
ENSOARG00000014296	101106208	KLHDC8B	kelch domain containing 8B	-1.9009776627793	0.00312547279461501
ENSOARG00000014369	101119493	SVIL	supervillin	1.8211796780288	4.77792322753914e-05
ENSOARG00000014385	101115555	ABCA6	ATP binding cassette subfamily A member 6	1.65936291264252	0.0262133524767868
ENSOARG00000014392	101103892	SMIM3	small integral membrane protein 3	0.83677072119305	0.0330582883145054
ENSOARG00000014535	101119083	TRAM2	translocation associated membrane protein 2	-1.04857368945818	0.0222558110348995
ENSOARG00000014591	101103677	AZI2	5-azacytidine induced 2	1.04148716190959	0.0101492999900134
ENSOARG00000014598	101110563	SOX2	SRY-box 2	-1.85669919021139	0.000158003997912543
ENSOARG00000014627	101119227	SNX16	sorting nexin 16	1.10512515168528	0.0180283763611872
ENSOARG00000014654		FRMD8	FERM domain containing 8	-0.874771459826104	0.0420185619455575
ENSOARG00000014668	101120662	ZFYVE16	zinc finger FYVE-type containing 16	1.36465071444832	0.00169119522767388
ENSOARG00000014678	101111774	C9orf72	chromosome 2 open reading frame, human C9orf72	1.20750036162727	0.000426455674088784
ENSOARG00000014752		TOPORS	TOP1 binding arginine/serine rich protein	1.03999883271638	0.00345671800184538
ENSOARG00000014802	101103763	ARHGEF3	Rho guanine nucleotide exchange factor 3	2.32805665191575	0.00736294196116227
ENSOARG00000014815		IFIT5	interferon induced protein with tetratricopeptide repeats 5	1.49173752262915	0.00149995649691469
ENSOARG00000014824	101113796	MVK	mevalonate kinase	-0.921160862245415	0.0241497978145366
ENSOARG00000014846				2.9160849687165	0.00148425276447704
ENSOARG00000014861	101116521	SH3GLB1	SH3 domain containing GRB2 like, endophilin B1	1.02166712941095	0.00217036604305002
ENSOARG00000014961				1.15859163938329	0.037492141230319
ENSOARG00000014979	101119003	GTF2B	general transcription factor IIB	1.7166513351629	0.000776184439367627
ENSOARG00000015019		B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	2.81437376704646	0.00997615704060152
ENSOARG00000015044	554262	TLR2	toll like receptor 2	1.08377531339336	0.00787406171612962
ENSOARG00000015070	101123481	ZBTB41	zinc finger and BTB domain containing 41	1.39757328614031	0.0274146350544361
ENSOARG00000015104	101119840	PHF20	PHD finger protein 20	-1.03871516446706	0.0321063800586082
ENSOARG00000015119	101111193	TRMT10A	tRNA methyltransferase 10A	1.13820476157234	0.0050797046459038
ENSOARG00000015126	101119334	JADE1	jade family PHD finger 1	-1.574730706196	0.00600987432948161
ENSOARG00000015146	101103248	SAT2	spermidine/spermine N1-acetyltransferase family member 2	-1.03686713692368	0.0423506658473058
ENSOARG00000015160	101107478	ICK	intestinal cell kinase	-1.15610631799331	0.010595490163073
ENSOARG00000015199	101114407	P2RY1	purinergic receptor P2Y1	1.30923169335118	0.0296711672776266
ENSOARG00000015238				1.83074004161483	0.000610377605861977
ENSOARG00000015246	101121070	ANKRD44	ankyrin repeat domain 44	-1.28717748123045	0.0256051224272157
ENSOARG00000015247	101106509	CCDC59	coiled-coil domain containing 59	1.18274091075489	0.00205063853149275
ENSOARG00000015272	100302546	RCHY1	ring finger and CHY zinc finger domain containing 1	1.03573254506445	0.0104743408249949
ENSOARG00000015307	101122150	PANK1	pantothenate kinase 1	-1.36065365543595	0.00617979872198151
ENSOARG00000015319	101117833	KLF11	Kruppel like factor 11	-2.02123446334031	0.0221505355677306
ENSOARG00000015331	443240		casein kinase I isoform epsilon	-0.819856016727391	0.0444638917948304
ENSOARG00000015347	101106952	KPNA2	karyopherin subunit alpha 2	1.04306284828696	0.0329136725544765
ENSOARG00000015354	101113714		LDL receptor related protein 5	-0.906511420839668	0.00877583664654425
ENSOARG00000015454	101114979	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F	-1.08714985255393	0.0359318744815016
ENSOARG00000015468	101120768	EPB41L1	erythrocyte membrane protein band 4.1 like 1	-1.02375671258069	0.0044080180566695
