ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.vs.Ctrl.micro.logFC	LPS100.vs.Ctrl.micro.p.value
ENSOARG00000007670		UBALD2	UBA like domain containing 2	1.51582796869607	0.0076450849398313
ENSOARG00000007691	101110770	RAD54B	RAD54 homolog B	-1.19998960703676	0.0402788667055494
ENSOARG00000007710	101117601	RNF157	ring finger protein 157	1.34161075579162	0.0269678588139702
ENSOARG00000007712	101120123	SLC5A3	solute carrier family 5 member 3	2.05793810158309	0.00242305151251826
ENSOARG00000007784	101102261	FAM168A	family with sequence similarity 168 member A	2.34594559986781	0.011611393500061
ENSOARG00000007828	101109469	SNTA1	syntrophin alpha 1	-1.3871522516445	0.0312875136388233
ENSOARG00000007840	100169939	BHLHE40	basic helix-loop-helix family member e40	1.29303255801202	0.0357216069196577
ENSOARG00000007942	101112829	RUBCNL	RUN and cysteine rich domain containing beclin 1 interacting protein like	2.01717181263269	0.00539724933896254
ENSOARG00000007988	101104691	PLD4	phospholipase D family member 4	-1.07229393112381	0.0324075997796482
ENSOARG00000007995	101118691	NCAPG2	non-SMC condensin II complex subunit G2	-1.36159207154609	0.0126665963802016
ENSOARG00000008017	101101977	GARS	glycyl-tRNA synthetase	1.12605841439817	0.034762812010583
ENSOARG00000008036	101113225	NCAPD2	non-SMC condensin I complex subunit D2	-1.55300755292116	0.00445967317610862
ENSOARG00000008103	101102478	ZSWIM4	zinc finger SWIM-type containing 4	1.96046002615522	0.0285160799958799
ENSOARG00000008157	101120977	CABLES1	Cdk5 and Abl enzyme substrate 1	-3.69448519372263	0.0010484182204115
ENSOARG00000008163	101104773	POU2F2	POU class 2 homeobox 2	2.62748788725138	0.0114388389411379
ENSOARG00000008183		TRIB1	tribbles pseudokinase 1	1.67480568031541	0.0203852346302724
ENSOARG00000008188	101105245	ANXA6	annexin A6	-0.777820604526814	0.0493999178874164
ENSOARG00000008197	101113866	LIG3	DNA ligase 3	1.18544954120564	0.0112882508305243
ENSOARG00000008203				-1.00703078285136	0.037283065360902
ENSOARG00000008209	101115265	FNBP1	formin binding protein 1	1.87477687217539	0.00437024248258525
ENSOARG00000008223	101121816	RBBP8	RB binding protein 8, endonuclease	1.21776556075953	0.0309163982895936
ENSOARG00000008244	101108588	ZBTB17	zinc finger and BTB domain containing 17	1.79172726405155	0.00301217283071797
ENSOARG00000008271	101104660	PGBD2	piggyBac transposable element derived 2	1.01996846896528	0.033503223047413
ENSOARG00000008313		LPAR6	lysophosphatidic acid receptor 6	1.84910754740101	0.0067391207497315
ENSOARG00000008352	101104265	ARHGEF1	Rho guanine nucleotide exchange factor 1	-0.791910250090079	0.0246048293280574
ENSOARG00000008417	101102974	PLEKHA8	pleckstrin homology domain containing A8	2.03713062188288	0.00498359286080181
ENSOARG00000008491	101113662		solute carrier family 35 member D2	-1.47485281642485	0.00813720806729247
ENSOARG00000008530	101113067	UHRF1	ubiquitin like with PHD and ring finger domains 1	3.58815737028232	0.00125097039230487
ENSOARG00000008579	101109647	ZNF827	zinc finger protein 827	2.33195675289993	0.0112555182290983
ENSOARG00000008583	101120920	CACNA1A	calcium voltage-gated channel subunit alpha1 A	1.83786917116891	0.00528793228888001
ENSOARG00000008589	443125	ECE1	endothelin converting enzyme 1	2.07542273329885	0.00825484940531648
ENSOARG00000008603	101104290	BCKDK	branched chain ketoacid dehydrogenase kinase	-1.19236069581034	0.00538201445796191
ENSOARG00000008685	101117780	SLC35C2	solute carrier family 35 member C2	-0.904160895408007	0.0296887642026842
ENSOARG00000008704	101117904	ASAH1	N-acylsphingosine amidohydrolase 1	-0.995942139950971	0.0287825960299927
ENSOARG00000008728	101123377	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	-1.10919442311124	0.0190035325694348
ENSOARG00000008752	101110931	VWF	von Willebrand factor	-1.61508760011548	0.00843634569190203
ENSOARG00000008755	101114910	HEMK1	HemK methyltransferase family member 1	1.33535143602638	0.0114006633180434
ENSOARG00000008766	101110798	RXRB	retinoid X receptor beta	-0.768466101147417	0.0358013139378506
ENSOARG00000008797		CMIP	c-Maf inducing protein	-1.55841155882314	0.0129557884958657
ENSOARG00000008800	494436	LOC494436	heat shock 70 kDa protein 1B	-2.08443290754612	0.00110252480547076
ENSOARG00000008810	101109726	MINDY3	MINDY lysine 48 deubiquitinase 3	0.776888460804862	0.0492611695675501
ENSOARG00000008817	100913152	HSPA1A	heat shock 70kDa protein 1A	-1.89550790867801	0.00105335337382325
ENSOARG00000008832	101105454	SIRT3	sirtuin 3	-1.68674857885128	0.000966764761986314
ENSOARG00000008835	101110211	TSPYL2	TSPY like 2	-1.3587086897549	0.0038198991249314
ENSOARG00000008896	101116807	PRKX	protein kinase X-linked	2.39720431218467	0.000307820476718314
ENSOARG00000008907	443226	TIMELESS	timeless circadian regulator	-1.11258910788113	0.0311611590678467
ENSOARG00000008930	101118926	RIF1	replication timing regulatory factor 1	1.42831755254396	0.0203852346302724
ENSOARG00000008942	443507	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	-1.26997605661658	0.0324837137476691
ENSOARG00000008963	101109988	PTER	phosphotriesterase related	-2.09257463091445	0.00298492398194807
ENSOARG00000009130	101106739	ITGAX	integrin subunit alpha X	2.03973870880562	0.021260797277531
ENSOARG00000009133	101120724	IL11RA	interleukin 11 receptor subunit alpha	-1.06550493094034	0.0202940015538356
ENSOARG00000009156	101118291	TP53RK	TP53 regulating kinase	2.10104536853098	0.000874297145623703
ENSOARG00000009164	101120986	GALT	galactose-1-phosphate uridylyltransferase	-1.4954798214196	0.0164306467577852
ENSOARG00000009171	101111733	EIF2S2	eukaryotic translation initiation factor 2 subunit 2	1.29211773870103	0.0395756398107742
ENSOARG00000009180	101116710	SIGMAR1	sigma non-opioid intracellular receptor 1	-1.71416032577912	0.000896249125433108
ENSOARG00000009207	101102409		SET and MYND domain containing 2	-0.904346778782029	0.0240759810508951
ENSOARG00000009211				4.83572173041759	0.000555077432405265
ENSOARG00000009217	101119789	PDGFRL	platelet derived growth factor receptor like	4.20483299812682	0.000352051251764542
ENSOARG00000009224	101121103	NEK3	NIMA related kinase 3	-1.33231486005642	0.0163174607824934
ENSOARG00000009250	101105872	ITGAD	integrin subunit alpha D	1.97052886253269	0.0113250416813224
ENSOARG00000009339	101105022	SLC43A3	proteoglycan 3-like	-1.30439024546709	0.0026198431980341
ENSOARG00000009340	101121641	TMEM86A	transmembrane protein 86A	-1.90670825540098	0.00671923281046416
ENSOARG00000009354	101112245	LOC101112245	adenosylhomocysteinase	-1.62994908200222	0.0135852870561016
ENSOARG00000009370		NECTIN2	nectin cell adhesion molecule 2	1.70465592959747	0.00138959107405691
ENSOARG00000009401	101104343	PTGER4	prostaglandin E receptor 4	2.54833828634201	0.00156864613137559
ENSOARG00000009492	101102384	COQ10A	coenzyme Q10A	-0.961386671422715	0.0493999178874164
ENSOARG00000009515	101105981	RTL8C	retrotransposon Gag like 8C	-1.05619930656541	0.0136559794655071
ENSOARG00000009533	101106404	LOC101106404	protein FAM127	-1.05603625117893	0.0136559794655071
ENSOARG00000009588		RYBP	RING1 and YY1 binding protein	1.7453075649583	0.00368573298737974
ENSOARG00000009630	101102576	MLLT6	MLLT6, PHD finger containing	1.97103418974889	0.029642294022295
ENSOARG00000009653	443163	RGS2	regulator of G protein signaling 2	-1.24056551872035	0.0111729704244962
ENSOARG00000009664	101121207	HYAL1	hyaluronidase 1	-0.84301245909533	0.0315172999099076
ENSOARG00000009668	101103686	B4GALT3	beta-1,4-galactosyltransferase 3	0.857110792062499	0.0456192336745578
ENSOARG00000009689	101107935	TMCO4	transmembrane and coiled-coil domains 4	-1.16064243237462	0.0104495119531471
ENSOARG00000009691	101106807	ZNF691	zinc finger protein 691	-1.36241519958019	0.0138685298776483
ENSOARG00000009704	101112053	CHAF1A	chromatin assembly factor 1 subunit A	-1.26582608886416	0.0232039379912824
ENSOARG00000009706	101108265	GRK2	G protein-coupled receptor kinase 2	-1.19766217620855	0.0127080162056869
ENSOARG00000009712	101122299	MLYCD	malonyl-CoA decarboxylase	-1.13068553982965	0.00918859749463635
ENSOARG00000009748	101123183	DLC1	DLC1 Rho GTPase activating protein	-2.64039040256491	0.0268649981056682
ENSOARG00000009771	101123444	RNF113A	ring finger protein 113A	-1.31689255144189	0.0179293925101005
ENSOARG00000009777	101116591	TPD52L2	TPD52 like 2	-0.939771173347216	0.0493724116336474
ENSOARG00000009784	101114815	LIMK2	LIM domain kinase 2	-1.03669020706294	0.0374399885192706
ENSOARG00000009786	101110026	BNIP3L	BCL2 interacting protein 3 like	-0.800656149937168	0.0447676459795783
ENSOARG00000009791	101122711	RGS1	regulator of G protein signaling 1	-1.9843883322921	0.00694418210565022
ENSOARG00000009799	101108197	NBL1	NBL1, DAN family BMP antagonist	-0.952931709627371	0.0169203454744407
ENSOARG00000009826	101109225	PGM1	phosphoglucomutase 1	-0.98993373414942	0.0122862689635623
ENSOARG00000009827	101113869	VASH2	vasohibin 2	2.83535990962881	0.0081641697887831
ENSOARG00000009829				0.922532435806653	0.0435004318188748
ENSOARG00000009854	101114877	EXT1	exostosin glycosyltransferase 1	1.37250727262781	0.0160482033633786
ENSOARG00000009867	101117600	CLEC10A	C-type lectin domain family 10 member A	3.48443416567112	0.00238713805067273
ENSOARG00000009884	101109152	PQLC2	PQ loop repeat containing 2	-1.02096267358963	0.0133763623198666
ENSOARG00000009895	101106106	PGM2L1	phosphoglucomutase 2 like 1	-1.81714575261808	0.02127664592502
ENSOARG00000009900				-1.21682558817987	0.0118708218274234
ENSOARG00000009948		ZBTB46	zinc finger and BTB domain containing 46	2.2625063554522	0.00780366952714783
ENSOARG00000009967				-0.858578002712511	0.0332450363027949
ENSOARG00000009978	100142676	FBXO32	F-box protein 32	-1.12317086106832	0.0474568923842038
ENSOARG00000009992				-1.39420614677567	0.0127628566578343
ENSOARG00000010000	101115381	ASGR2	asialoglycoprotein receptor 2	4.21028907716256	0.000692324123388121
ENSOARG00000010094	100192432	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	2.45447663654043	0.00122826825747871
ENSOARG00000010097	101103039	CLCN5	chloride voltage-gated channel 5	1.40769325074434	0.00656941335343808
ENSOARG00000010108	101121927	FEZ2	fasciculation and elongation protein zeta 2	-1.22789454602289	0.032238704134138
ENSOARG00000010123	101117612	EML2	echinoderm microtubule associated protein like 2	-1.65760470194443	0.00288131082618205
ENSOARG00000010130	101111883	ARID3A	AT-rich interaction domain 3A	1.69141997634003	0.00524828255686225
ENSOARG00000010133	101109464	RECQL5	RecQ like helicase 5	-1.27229604120235	0.0206996148440215
ENSOARG00000010174		RHOBTB2	Rho related BTB domain containing 2	-1.62258158853991	0.014236101527441
ENSOARG00000010211	101117870	QPCTL	glutaminyl-peptide cyclotransferase like	-1.01459515478259	0.0222326159509028
ENSOARG00000010223	101115536	NFE2L3	nuclear factor, erythroid 2 like 3	1.60827255977966	0.0138715825420231
ENSOARG00000010226				1.67922059726036	0.00397033508557617
ENSOARG00000010237	101106984	FCRLB	Fc receptor like B	1.67866889832425	0.0149299274663327
ENSOARG00000010268	101108589	SNAP25	synaptosome associated protein 25	2.2917707276017	0.0114365167537017
ENSOARG00000010292				0.87432179422997	0.0449897381226768
ENSOARG00000010315	101107242	DUSP12	dual specificity phosphatase 12	1.43037622566326	0.013771748354274
ENSOARG00000010352	100147799	CCND2	cyclin D2	2.50241850582092	0.0100622441078528
ENSOARG00000010354	101121894	LRRC8D	leucine rich repeat containing 8 VRAC subunit D	-1.08575486269683	0.0118476798935315
ENSOARG00000010367	101117237	PARP11	poly(ADP-ribose) polymerase family member 11	1.2182915553881	0.0138512469809722
ENSOARG00000010372	101116536	POLR3D	RNA polymerase III subunit D	1.03161843837915	0.024984002426269
ENSOARG00000010431	101108255	CPLANE1	ciliogenesis and planar polarity effector 1	-1.25158736399342	0.0430504386637277
ENSOARG00000010436	101114322	MMS19	MMS19 homolog, cytosolic iron-sulfur assembly component	-0.950744660242761	0.0224057750787594
ENSOARG00000010473	101106481	EPB41L3	erythrocyte membrane protein band 4.1 like 3	-1.0900834897273	0.01819840293027
ENSOARG00000010503				-1.47020370757509	0.0124839644366663
ENSOARG00000010507	101110292	RABGEF1	RAB guanine nucleotide exchange factor 1	1.25884723486996	0.0136204872251071
ENSOARG00000010519	101107748	OLFML2B	olfactomedin like 2B	2.61101294465741	0.000518669921506492
ENSOARG00000010523	780486	JAG1	jagged 1	2.06981437486762	0.0166664605233462
ENSOARG00000010546	101105343	MTMR4	myotubularin related protein 4	2.29758499441946	0.00933772269184445
ENSOARG00000010552	100302315	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1	-1.82841149869094	0.0184335721623783
ENSOARG00000010623	101118175	TSPAN11	tetraspanin-11	-0.791959343347629	0.0342762110851136
ENSOARG00000010626	101109893	GRB2	growth factor receptor bound protein 2	1.1305382867327	0.0335714316189625
ENSOARG00000010628	101116749	TMEM206	transmembrane protein 206	-1.73503400781367	0.015148654353312
ENSOARG00000010684	101109666	SNN	stannin	2.03332314470814	0.000718881223380999
ENSOARG00000010700		MSANTD2	Myb/SANT DNA binding domain containing 2	1.30184225212581	0.00610580224159151
ENSOARG00000010720				-0.821272106987159	0.035172495314262
ENSOARG00000010723	101113150	WDR19	WD repeat domain 19	-1.43327872967765	0.0159893969552696
ENSOARG00000010725	101119834	GOSR2	golgi SNAP receptor complex member 2	0.887062362779803	0.0282839361022097
ENSOARG00000010744	101109055	UHMK1	U2AF homology motif kinase 1	1.20255333338257	0.0115349438445731
ENSOARG00000010759	101117264	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha	-1.09258753424038	0.0415476912722548
ENSOARG00000010764	101118248	HCCS	cytochrome c-type heme lyase	1.44267204138426	0.0133110585745508
ENSOARG00000010775	101118488	SSH3	slingshot protein phosphatase 3	-1.07238069667561	0.0119805119465952
ENSOARG00000010816	101112277	CASTOR2	cytosolic arginine sensor for mTORC1 subunit 2	-1.91327590191453	0.0217911166551871
ENSOARG00000010838	101113224	DGKA	diacylglycerol kinase alpha	-0.89870060213693	0.024872690724614
ENSOARG00000010847		UBTD1	ubiquitin domain containing 1	-1.56451683764502	0.00256447168515305
ENSOARG00000010848	101117512	NR2E1	nuclear receptor subfamily 2 group E member 1	-1.86312496918318	0.0468161042490447
ENSOARG00000010853	101123459		mediator of cell motility 1	1.41928778832173	0.0293097750505048
ENSOARG00000010901	101103171	MEAK7	MTOR associated protein, eak-7 homolog	-1.27246698975314	0.0395503398495401
ENSOARG00000010925	101103415	COTL1	coactosin like F-actin binding protein 1	-1.05106293001281	0.0413986385686193
ENSOARG00000010943	101113485	MMP19	matrix metallopeptidase 19	-1.44048506751068	0.0119901443492184
ENSOARG00000010952	101104043	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6	1.55493767565148	0.0268836556464196
ENSOARG00000010960	101101953	ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase	1.03983149459943	0.0385875052513236
ENSOARG00000011029	101109715	N4BP2L1	NEDD4 binding protein 2 like 1	-1.51626727949487	0.0386209329146568
ENSOARG00000011046	780489	NCF1	neutrophil cytosolic factor 1	1.65554416636805	0.00548681981169819
ENSOARG00000011049	101101915	DHX34	DExH-box helicase 34	-0.950052768179306	0.0447950680326385
ENSOARG00000011073	101119482	C6orf203	chromosome 8 open reading frame, human C6orf203	-1.60183845673478	0.00300468762041065
ENSOARG00000011093	101115415	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha	-0.818181378037404	0.0365310806195
ENSOARG00000011100	101102700	TBC1D2	TBC1 domain family member 2	-1.56778890176163	0.00474856548824066
ENSOARG00000011131	101103791		tripartite motif containing 14	1.30314489564536	0.0249595342987232
ENSOARG00000011146	101108464	PADI2	peptidyl arginine deiminase 2	-1.99414025874425	0.0383574820949074
ENSOARG00000011158	101110781	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog	0.938127348655382	0.0364129488577176
ENSOARG00000011185	101115666	AVPI1	arginine vasopressin induced 1	-2.70574299880518	0.000555077432405265
ENSOARG00000011189	101110805	NUF2	NDC80 kinetochore complex component NUF2	-1.57838517521347	0.0295462476777833
ENSOARG00000011191	101101996	OGFRL1	opioid growth factor receptor like 1	2.13042348579173	0.000435425588963955
ENSOARG00000011232	101104418	KIAA0513	KIAA0513 ortholog	-2.02585815583899	0.0309323825887534
ENSOARG00000011290		SDHAF4	succinate dehydrogenase complex assembly factor 4	1.14719806342609	0.0498637157199559
ENSOARG00000011297	101123019	ST6GALNAC4	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	-1.72741566004209	0.000532830847774151
ENSOARG00000011341	101108207		testis expressed 261	-0.755246626824898	0.0490942234857917
ENSOARG00000011345	443049	PDXK	pyridoxal kinase	1.18949108458667	0.0179946848505478
ENSOARG00000011382	101122670	TRAPPC2B	trafficking protein particle complex 2	1.16026377564382	0.0158952159259053
ENSOARG00000011412	101117758	CIRBP	cold inducible RNA binding protein	-0.96305170359957	0.0131033526454444
ENSOARG00000011441	101108996	ATP13A2	ATPase cation transporting 13A2	-0.842521845927856	0.0332450363027949
ENSOARG00000011444	101103753	ADM	adrenomedullin	3.99490345642675	0.00179953461857097
ENSOARG00000011445	101111563	CDR2L	cerebellar degeneration related protein 2 like	-1.54845830075426	0.024826063196947
ENSOARG00000011500	101109257	DYSF	dysferlin	2.76004151413772	0.000692324123388121
ENSOARG00000011550	101105869	UROS	uroporphyrinogen III synthase	-1.06974678436674	0.0493123542332418
ENSOARG00000011634	101111439	SPR	sepiapterin reductase	-0.960657856997417	0.0194214586323903
ENSOARG00000011655	101111403	CHEK1	checkpoint kinase 1	-2.66961414427885	0.0095303030040072
ENSOARG00000011694	101111560	B3GLCT	beta 3-glucosyltransferase	-1.00637289535785	0.0247172746109913
ENSOARG00000011728	101114641	BCL9L	B cell CLL/lymphoma 9 like	1.81166454438053	0.0106428187246737
ENSOARG00000011741	101104182	PEX11A	peroxisomal biogenesis factor 11 alpha	2.12625706442489	0.029642294022295
ENSOARG00000011751	101114770	SLC6A12	solute carrier family 6 member 12	1.22552765846374	0.0231098183009625
ENSOARG00000011794	101106429	SLC9B2	solute carrier family 9 member B2	-1.88776250953339	0.00416369114332961
ENSOARG00000011798	101112848	INPP4B	inositol polyphosphate-4-phosphatase type II B	2.25702888948655	0.00215241590275541
ENSOARG00000011801	101120445	C3orf14	chromosome 19 open reading frame, human C3orf14	-1.21536121842568	0.0413986385686193
ENSOARG00000011841	101104860	ANPEP	alanyl aminopeptidase, membrane	3.79227931705181	0.000219445736689022
ENSOARG00000011855	100423047		integrin subunit beta 3	3.64330311068693	0.0036054805932361
ENSOARG00000011897	101103985	COQ3	coenzyme Q3, methyltransferase	1.21434946637477	0.0162685293273511
ENSOARG00000011905	101112773	HYLS1	HYLS1, centriolar and ciliogenesis associated	-1.61966523356515	0.0131232248930962
ENSOARG00000011908	101116159		ring finger protein 135	-1.47546552545292	0.0120342977369349
ENSOARG00000011922	101104245	FAXC	failed axon connections homolog	3.11491915862235	0.00059255274141286
ENSOARG00000011939	101115814	PROCR	protein C receptor	2.8738466499799	0.00593165604401427
ENSOARG00000011946	101104499	FBXL4	F-box and leucine rich repeat protein 4	-0.957671136638929	0.0384283672595263
ENSOARG00000011970	101109153	TESK1	testis associated actin remodelling kinase 1	1.44413190584493	0.0123558549210275
ENSOARG00000011989	101110109	DECR2	2,4-dienoyl-CoA reductase 2	-2.03850691454925	0.00597336886126297
ENSOARG00000011990	101105004	MMS22L	MMS22 like, DNA repair protein	2.33262288128164	0.00391620937258736
ENSOARG00000011992	101110831	LRSAM1	leucine rich repeat and sterile alpha motif containing 1	-0.938981144120373	0.0271931705519466
ENSOARG00000012003	101117219	RUSC2	RUN and SH3 domain containing 2	1.42027803914505	0.0173914418504987
ENSOARG00000012028	443452	SLC7A1	solute carrier family 7 member 1	2.09514940017175	0.0428088550994255
ENSOARG00000012042		SZRD1	SUZ RNA binding domain containing 1	1.15383511651932	0.014309545546068
ENSOARG00000012083	101109841	CORO1B	coronin 1B	-1.0100831528696	0.0137352214844604
ENSOARG00000012088	101110375	HPS1	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1	-0.716352529236705	0.0430504386637277
ENSOARG00000012141	101113284	ATXN1	ataxin 1	1.06712082798262	0.0257506345983324
ENSOARG00000012146	101104007	SWAP70	switching B cell complex subunit SWAP70	1.22611827645521	0.0370021534726088
ENSOARG00000012161	443166	SLC2A8	solute carrier family 2 member 8	-1.6513927833103	0.00473195380613889
ENSOARG00000012220	101102594	GMPR	guanosine monophosphate reductase	-1.20654907582424	0.0324837137476691
ENSOARG00000012222	101121975		pyruvate dehydrogenase E1 beta subunit	-0.729935003921624	0.0468122912409963
ENSOARG00000012264	101121761	LTA4H	leukotriene A4 hydrolase	-0.959729907752736	0.0265697857271109
ENSOARG00000012288				2.96920413028733	0.000651041613478429
ENSOARG00000012318	101116309	HMG20B	high mobility group 20B	-0.90329577461305	0.0324837137476691
ENSOARG00000012331	101105342	ORMDL3	ORMDL sphingolipid biosynthesis regulator 3	-1.07197109324983	0.0191707016685351
ENSOARG00000012380	101104859	TBC1D9	TBC1 domain family member 9	1.42383018582153	0.007565314214641
ENSOARG00000012465	101120739	RAD52	RAD52 homolog, DNA repair protein	-0.991313322749169	0.0250110469502053
ENSOARG00000012488				-0.996016123399532	0.0180047873958174
ENSOARG00000012595	101117426		WW domain containing E3 ubiquitin protein ligase 1	-1.19773054106311	0.0339270682744763
ENSOARG00000012632	101104508	DHX40	DEAH-box helicase 40	-1.62713596236493	0.0446943638996173
ENSOARG00000012677	101114370	USP12	ubiquitin specific peptidase 12	1.4381619391285	0.00224233134499553
ENSOARG00000012704	101110640	PCBP3	poly(rC) binding protein 3	-1.58949241426018	0.00876377507379329
ENSOARG00000012724	101123330	FLNB	filamin B	1.67948637384255	0.0135814246189622
ENSOARG00000012761	101105344	FMO4	flavin containing monooxygenase 4	1.15136553597532	0.0255745134557079
ENSOARG00000012797	101105420	MCM4	minichromosome maintenance complex component 4	-1.46072641923365	0.00534076468528198
ENSOARG00000012812	101106637	CYB561A3	cytochrome b ascorbate-dependent protein 3	-1.09021142491335	0.0372745445245706
ENSOARG00000012815	101112761	MS4A7	membrane spanning 4-domains A7	-1.1420291738095	0.0226188985365298
ENSOARG00000012849	101111140	CDK2AP2	cyclin dependent kinase 2 associated protein 2	-0.793284107902163	0.0437022695706643
ENSOARG00000012870	100217411	MAPK14	mitogen-activated protein kinase 14	-0.946840650948056	0.0338292926342419
ENSOARG00000012886	443446	THRA	thyroid hormone receptor alpha	-1.65140231144519	0.00717170133435407
ENSOARG00000012912	101115315	MAML3	mastermind like transcriptional coactivator 3	2.91035252650323	0.000379090578898446
ENSOARG00000012956	101105515	MARK1	microtubule affinity regulating kinase 1	-1.05523424629942	0.0314740850247756
ENSOARG00000012964	101105722	PTAR1	protein prenyltransferase alpha subunit repeat containing 1	2.81645762209598	0.00194953582695684
ENSOARG00000012971	101103368		WD repeat domain 90	-1.12430412088502	0.0230467619058567
ENSOARG00000012979	101112256	LRRC32	leucine rich repeat containing 32	2.50631229340732	0.007565314214641
ENSOARG00000012992	101112489	ORC3	origin recognition complex subunit 3	-0.914933029118274	0.0320317038346187
ENSOARG00000012998	100147794	RHOF	ras homolog family member F, filopodia associated	3.0249319552328	0.00295354436285456
ENSOARG00000013010	101106706	MVD	mevalonate diphosphate decarboxylase	1.60942979824846	0.0186828353489829
ENSOARG00000013014	101116928	SLC9A8	solute carrier family 9 member A8	0.888573310693189	0.0308783560359719
ENSOARG00000013020	443409	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1	4.78500569830952	0.000444717506248434
ENSOARG00000013021				2.00749264402177	0.00466991376306377
ENSOARG00000013035				1.71003874112668	0.0038198991249314
ENSOARG00000013049	101113155	SLC35A1	solute carrier family 35 member A1	-1.33837050077134	0.016805366417466
ENSOARG00000013074	101118022	BTBD2	BTB domain containing 2	-1.00444022283051	0.0131033526454444
ENSOARG00000013077	101120110	RETREG1	reticulophagy regulator 1	-1.87238060407556	0.008094151126802
ENSOARG00000013087	101111900	ALDH16A1	aldehyde dehydrogenase 16 family member A1	-1.32721670141928	0.00462832237917483
ENSOARG00000013097	101109140	MIGA1	mitoguardin 1	1.88229309034006	0.00909758826086008
ENSOARG00000013128	101115885	NUP58	nucleoporin 58	-2.26601566997087	0.0271916980891422
ENSOARG00000013168	101122484	IFNGR2	interferon gamma receptor 2	-1.5192454016817	0.00443927420174203
ENSOARG00000013190	101109789	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	1.88452011013442	0.00095237140239866
ENSOARG00000013213	101106025	DUSP10	dual specificity phosphatase 10	2.03254312240021	0.00377011616543431
ENSOARG00000013218				-1.3498148226302	0.0446943638996173
ENSOARG00000013220	101115296	RABGAP1L	RAB GTPase activating protein 1 like	1.50477960669317	0.00343006158341086
ENSOARG00000013234	101116152	SNX14	sorting nexin 14	-0.906030355551842	0.0271542640553952
ENSOARG00000013253	101114566	RANBP9	RAN binding protein 9	-1.14206532980504	0.0185140366996274
ENSOARG00000013264	101111186	DBF4	DBF4 zinc finger	1.39201987676326	0.0151008964201358
ENSOARG00000013265	101110736	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	-2.1575438225787	0.00453854769657747
ENSOARG00000013337	101110997	PUM3	pumilio RNA binding family member 3	0.820151458000859	0.0488056456722568
ENSOARG00000013346	101117556	CCL24	C-C motif chemokine ligand 24	3.21253104322567	0.00237235187697501
ENSOARG00000013414	101101853	SYNJ1	synaptojanin 1	1.26002040481431	0.0146809315398315
ENSOARG00000013420	101103154	COX18	mitochondrial inner membrane protein COX18	1.15947286784752	0.039055355016834
ENSOARG00000013437	101112951	CDC37L1	cell division cycle 37 like 1	1.11170428488966	0.0143676560018946
ENSOARG00000013448	101115252	POR	P450 (cytochrome) oxidoreductase	-0.891185612099345	0.0346634666224731
ENSOARG00000013462	101111546		phosphoinositide-3-kinase regulatory subunit 2	-1.2590534898185	0.0238175136779124
ENSOARG00000013467				-0.908137100964111	0.0177614839848848
ENSOARG00000013469	101113453	PRMT2	protein arginine methyltransferase 2	-0.836203853233554	0.0492409776852226
ENSOARG00000013495				2.01608481785804	0.04939847863524
ENSOARG00000013505		BCL2L13	BCL2 like 13	-0.789396172019098	0.0351462478281346
ENSOARG00000013511	101113718	FBXO25	F-box protein 25	-0.890110493261099	0.0428559839888647
ENSOARG00000013512		CDT1	chromatin licensing and DNA replication factor 1	-1.66868451262482	0.0138715825420231
ENSOARG00000013587	101107214	GALNS	galactosamine (N-acetyl)-6-sulfatase	-1.15802715238834	0.0112094230271819
ENSOARG00000013590	101117845	LIMCH1	LIM and calponin homology domains 1	-1.62553701119632	0.0472793764566002
ENSOARG00000013619	101116876	DKK1	dickkopf WNT signaling pathway inhibitor 1	4.11747856070703	0.00649132444739729
ENSOARG00000013620	101104103	ADGRL2	adhesion G protein-coupled receptor L2	3.2516779461339	0.00661270279001866
ENSOARG00000013621		GYPC	glycophorin C (Gerbich blood group)	2.1535389978945	0.0012096467220863
ENSOARG00000013656	101109114	AKT1S1	AKT1 substrate 1	1.49778870378571	0.0327409273748507
ENSOARG00000013659	101114155	SETD4	SET domain containing 4	-0.929153910138503	0.0322030350286222
ENSOARG00000013683	101120243	LMNB2	lamin B2	1.06075207030234	0.012748226665306
ENSOARG00000013740	101118965	TMEM100	transmembrane protein 100	3.79528883992163	0.00103598519713758
ENSOARG00000013760	101108546	CDKL5	cyclin dependent kinase like 5	2.6604260537183	0.00472534773139838
ENSOARG00000013777	101115172	LOC101115172	carbonyl reductase	-2.00599739590484	0.0197683033166492
